"current_path","proposed_path","action","reason","source_of_truth_after_move","references_to_update","git_operation_proposed","commit_batch","rollback_command","approved_now","human_decision","notes"
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/package.rds","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/package.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/Rd.rds","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/Rd.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/vignette.rds","artifacts/h24-final/oceancube.Rcheck/oceancube/Meta/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/source/auxdata/layer_sp.Rdata","artifacts/h24-final/source/auxdata/layer_sp.Rdata","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-final/source/auxdata/PER_ADM0.RData","artifacts/h24-final/source/auxdata/PER_ADM0.RData","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/library/oceancube/help/aliases.rds","artifacts/h24-preversion/library/oceancube/help/aliases.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/library/oceancube/help/paths.rds","artifacts/h24-preversion/library/oceancube/help/paths.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/library/oceancube/Meta/features.rds","artifacts/h24-preversion/library/oceancube/Meta/features.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/library/oceancube/Meta/hsearch.rds","artifacts/h24-preversion/library/oceancube/Meta/hsearch.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/library/oceancube/Meta/links.rds","artifacts/h24-preversion/library/oceancube/Meta/links.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/library/oceancube/Meta/nsInfo.rds","artifacts/h24-preversion/library/oceancube/Meta/nsInfo.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/library/oceancube/Meta/package.rds","artifacts/h24-preversion/library/oceancube/Meta/package.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/library/oceancube/Meta/Rd.rds","artifacts/h24-preversion/library/oceancube/Meta/Rd.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/library/oceancube/Meta/vignette.rds","artifacts/h24-preversion/library/oceancube/Meta/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","artifacts/h24-preversion/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/help/aliases.rds","artifacts/h24-preversion/oceancube.Rcheck/oceancube/help/aliases.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/help/paths.rds","artifacts/h24-preversion/oceancube.Rcheck/oceancube/help/paths.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/features.rds","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/features.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/hsearch.rds","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/hsearch.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/links.rds","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/links.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/package.rds","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/package.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/Rd.rds","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/Rd.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/vignette.rds","artifacts/h24-preversion/oceancube.Rcheck/oceancube/Meta/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/source/auxdata/layer_sp.Rdata","artifacts/h24-preversion/source/auxdata/layer_sp.Rdata","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-preversion/source/auxdata/PER_ADM0.RData","artifacts/h24-preversion/source/auxdata/PER_ADM0.RData","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release-force/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","artifacts/h24-release-force/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/help/aliases.rds","artifacts/h24-release-force/oceancube.Rcheck/oceancube/help/aliases.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/help/paths.rds","artifacts/h24-release-force/oceancube.Rcheck/oceancube/help/paths.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/features.rds","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/features.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/hsearch.rds","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/hsearch.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/links.rds","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/links.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/package.rds","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/package.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/Rd.rds","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/Rd.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/vignette.rds","artifacts/h24-release-force/oceancube.Rcheck/oceancube/Meta/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/library/oceancube/help/aliases.rds","artifacts/h24-release/library/oceancube/help/aliases.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/library/oceancube/help/paths.rds","artifacts/h24-release/library/oceancube/help/paths.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/library/oceancube/Meta/features.rds","artifacts/h24-release/library/oceancube/Meta/features.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/library/oceancube/Meta/hsearch.rds","artifacts/h24-release/library/oceancube/Meta/hsearch.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/library/oceancube/Meta/links.rds","artifacts/h24-release/library/oceancube/Meta/links.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/library/oceancube/Meta/nsInfo.rds","artifacts/h24-release/library/oceancube/Meta/nsInfo.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/library/oceancube/Meta/package.rds","artifacts/h24-release/library/oceancube/Meta/package.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/library/oceancube/Meta/Rd.rds","artifacts/h24-release/library/oceancube/Meta/Rd.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/library/oceancube/Meta/vignette.rds","artifacts/h24-release/library/oceancube/Meta/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","artifacts/h24-release/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/oceancube.Rcheck/oceancube/help/aliases.rds","artifacts/h24-release/oceancube.Rcheck/oceancube/help/aliases.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/oceancube.Rcheck/oceancube/help/paths.rds","artifacts/h24-release/oceancube.Rcheck/oceancube/help/paths.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/features.rds","artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/features.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/hsearch.rds","artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/hsearch.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/links.rds","artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/links.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/package.rds","artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/package.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/Rd.rds","artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/Rd.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/vignette.rds","artifacts/h24-release/oceancube.Rcheck/oceancube/Meta/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/source/auxdata/layer_sp.Rdata","artifacts/h24-release/source/auxdata/layer_sp.Rdata","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h24-release/source/auxdata/PER_ADM0.RData","artifacts/h24-release/source/auxdata/PER_ADM0.RData","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/dev-check/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","artifacts/h26-consolidation/dev-check/oceancube.Rcheck/00_pkg_src/oceancube/build/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/help/aliases.rds","artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/help/aliases.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/help/paths.rds","artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/help/paths.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/features.rds","artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/features.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/hsearch.rds","artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/hsearch.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/links.rds","artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/links.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/nsInfo.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/package.rds","artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/package.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/Rd.rds","artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/Rd.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/vignette.rds","artifacts/h26-consolidation/dev-check/oceancube.Rcheck/oceancube/Meta/vignette.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/handbook-library/oceancube/help/aliases.rds","artifacts/h26-consolidation/handbook-library/oceancube/help/aliases.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/handbook-library/oceancube/help/paths.rds","artifacts/h26-consolidation/handbook-library/oceancube/help/paths.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/handbook-library/oceancube/Meta/features.rds","artifacts/h26-consolidation/handbook-library/oceancube/Meta/features.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/handbook-library/oceancube/Meta/hsearch.rds","artifacts/h26-consolidation/handbook-library/oceancube/Meta/hsearch.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/handbook-library/oceancube/Meta/links.rds","artifacts/h26-consolidation/handbook-library/oceancube/Meta/links.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/handbook-library/oceancube/Meta/nsInfo.rds","artifacts/h26-consolidation/handbook-library/oceancube/Meta/nsInfo.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/handbook-library/oceancube/Meta/package.rds","artifacts/h26-consolidation/handbook-library/oceancube/Meta/package.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
"artifacts/h26-consolidation/handbook-library/oceancube/Meta/Rd.rds","artifacts/h26-consolidation/handbook-library/oceancube/Meta/Rd.rds","leave-local","Operational or generated ignored file remains at its local path.","external upstream input or generating script","","none","B00-no-action-operational","none",FALSE,"accept no-action classification","Ignored operational files must not be moved with Git."
