"path","tracked","untracked","ignored","exists","size_bytes","category","generated","operational","required_for_package","required_for_tests","required_for_documentation","previous_decision","verified_decision","evidence","notes"
".Rproj.user/0B557707/pcs/files-pane.pper",FALSE,FALSE,TRUE,TRUE,148,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/pcs/source-pane.pper",FALSE,FALSE,TRUE,TRUE,22,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/pcs/windowlayoutstate.pper",FALSE,FALSE,TRUE,TRUE,285,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/pcs/workbench-pane.pper",FALSE,FALSE,TRUE,TRUE,57,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/persistent-state",FALSE,FALSE,TRUE,TRUE,2126,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/rmd-outputs",FALSE,FALSE,TRUE,TRUE,5,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/saved_source_markers",FALSE,FALSE,TRUE,TRUE,27,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/prop/0E8BDBF2",FALSE,FALSE,TRUE,TRUE,108,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/prop/26268287",FALSE,FALSE,TRUE,TRUE,139,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/prop/2B5AFB91",FALSE,FALSE,TRUE,TRUE,108,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/prop/353243C3",FALSE,FALSE,TRUE,TRUE,107,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/prop/555DA84C",FALSE,FALSE,TRUE,TRUE,106,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/prop/56EF7529",FALSE,FALSE,TRUE,TRUE,110,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/prop/C5A5BFDF",FALSE,FALSE,TRUE,TRUE,138,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/prop/EC7AB064",FALSE,FALSE,TRUE,TRUE,139,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/prop/F6B86399",FALSE,FALSE,TRUE,TRUE,140,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/prop/F8E195E0",FALSE,FALSE,TRUE,TRUE,141,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/prop/INDEX",FALSE,FALSE,TRUE,TRUE,773,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/1D90F40C",FALSE,FALSE,TRUE,TRUE,645,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/1D90F40C-contents",FALSE,FALSE,TRUE,TRUE,13094,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/241F9C8C",FALSE,FALSE,TRUE,TRUE,657,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/241F9C8C-contents",FALSE,FALSE,TRUE,TRUE,7861,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/32938575",FALSE,FALSE,TRUE,TRUE,764,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/32938575-contents",FALSE,FALSE,TRUE,TRUE,15085,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/3F0F0018",FALSE,FALSE,TRUE,TRUE,785,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/3F0F0018-contents",FALSE,FALSE,TRUE,TRUE,16626,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/409B6B14",FALSE,FALSE,TRUE,TRUE,798,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/409B6B14-contents",FALSE,FALSE,TRUE,TRUE,24942,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/61D2B7B5",FALSE,FALSE,TRUE,TRUE,630,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/61D2B7B5-contents",FALSE,FALSE,TRUE,TRUE,582,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/7A74702B",FALSE,FALSE,TRUE,TRUE,652,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/7A74702B-contents",FALSE,FALSE,TRUE,TRUE,4404,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/7E5E8195-contents",FALSE,FALSE,TRUE,TRUE,0,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/E1A8FE7C",FALSE,FALSE,TRUE,TRUE,788,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/E1A8FE7C-contents",FALSE,FALSE,TRUE,TRUE,23628,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/FD70EB7A",FALSE,FALSE,TRUE,TRUE,657,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/FD70EB7A-contents",FALSE,FALSE,TRUE,TRUE,5403,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/0B557707/sources/session-b80ddbe2/lock_file",FALSE,FALSE,TRUE,TRUE,0,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/shared/notebooks/patch-chunk-names",FALSE,FALSE,TRUE,TRUE,0,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
".Rproj.user/shared/notebooks/paths",FALSE,FALSE,TRUE,TRUE,456,"environment",FALSE,FALSE,FALSE,FALSE,FALSE,"review","review","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: environment; not established as generated; not classified as operational",""
"_pkgdown.yml",TRUE,FALSE,FALSE,TRUE,1397,"configuration",FALSE,FALSE,FALSE,FALSE,TRUE,"retain","retain","git ls-files: tracked; not in non-ignored untracked inventory; not in ignored inventory; filesystem: exists; category: configuration; not established as generated; not classified as operational",""
"artifacts/.crop-certification/oceancube_0.0.0.9000.tar.gz",FALSE,FALSE,TRUE,TRUE,1223974,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/.extract-certification/oceancube_0.0.0.9000.tar.gz",FALSE,FALSE,TRUE,TRUE,1234493,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js",FALSE,FALSE,TRUE,TRUE,2107,"cache",TRUE,TRUE,FALSE,FALSE,FALSE,"remove-candidate","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: cache; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/cache/R/pkgdown/clipboard.js/2.0.11/clipboard.min.js",FALSE,FALSE,TRUE,TRUE,9160,"cache",TRUE,TRUE,FALSE,FALSE,FALSE,"remove-candidate","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: cache; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/cache/R/pkgdown/headroom/0.11.0/headroom.min.js",FALSE,FALSE,TRUE,TRUE,4526,"cache",TRUE,TRUE,FALSE,FALSE,FALSE,"remove-candidate","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: cache; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/cache/R/pkgdown/headroom/0.11.0/jQuery.headroom.min.js",FALSE,FALSE,TRUE,TRUE,589,"cache",TRUE,TRUE,FALSE,FALSE,FALSE,"remove-candidate","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: cache; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/cache/R/pkgdown/http/918fb91ebd579178c7691d8e95bbddae.rds",FALSE,FALSE,TRUE,TRUE,16088,"cache",TRUE,TRUE,FALSE,FALSE,FALSE,"relocate-later","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: cache; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/cache/R/pkgdown/search/1.0.0/autocomplete.jquery.min.js",FALSE,FALSE,TRUE,TRUE,36562,"cache",TRUE,TRUE,FALSE,FALSE,FALSE,"remove-candidate","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: cache; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/cache/R/pkgdown/search/1.0.0/fuse.min.js",FALSE,FALSE,TRUE,TRUE,23035,"cache",TRUE,TRUE,FALSE,FALSE,FALSE,"remove-candidate","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: cache; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/cache/R/pkgdown/search/1.0.0/mark.min.js",FALSE,FALSE,TRUE,TRUE,16917,"cache",TRUE,TRUE,FALSE,FALSE,FALSE,"remove-candidate","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: cache; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/cache/R/sass/239dca29cf53d3dbd4cb157aefcb5b9e",FALSE,FALSE,TRUE,TRUE,287894,"cache",TRUE,TRUE,FALSE,FALSE,FALSE,"remove-candidate","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: cache; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/architecture/oceancube-spatind-boundary.md",FALSE,FALSE,TRUE,TRUE,5299,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/CITATION",FALSE,FALSE,TRUE,TRUE,116,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/DESCRIPTION",FALSE,FALSE,TRUE,TRUE,1251,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/get-started.html",FALSE,FALSE,TRUE,TRUE,11230,"rendered-document",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rendered-document; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/get-started.R",FALSE,FALSE,TRUE,TRUE,341,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/get-started.Rmd",FALSE,FALSE,TRUE,TRUE,737,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/index.html",FALSE,FALSE,TRUE,TRUE,3354,"rendered-document",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rendered-document; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/oceancube-architecture.html",FALSE,FALSE,TRUE,TRUE,13532,"rendered-document",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rendered-document; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/oceancube-architecture.R",FALSE,FALSE,TRUE,TRUE,369,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/oceancube-architecture.Rmd",FALSE,FALSE,TRUE,TRUE,2553,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/oceancube-geometry-weights.html",FALSE,FALSE,TRUE,TRUE,23626,"rendered-document",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rendered-document; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/oceancube-geometry-weights.R",FALSE,FALSE,TRUE,TRUE,1279,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/oceancube-geometry-weights.Rmd",FALSE,FALSE,TRUE,TRUE,2215,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/oceancube-introduction.html",FALSE,FALSE,TRUE,TRUE,24863,"rendered-document",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: rendered-document; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/oceancube-introduction.R",FALSE,FALSE,TRUE,TRUE,1818,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/doc/oceancube-introduction.Rmd",FALSE,FALSE,TRUE,TRUE,3404,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/examples/backend_memory.R",FALSE,FALSE,TRUE,TRUE,3995,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/examples/backend_netcdf_descriptor.R",FALSE,FALSE,TRUE,TRUE,5112,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/examples/backend_netcdf_read_block.R",FALSE,FALSE,TRUE,TRUE,6686,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/examples/baseline_ocean_cube.R",FALSE,FALSE,TRUE,TRUE,3704,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/examples/cube_crop.R",FALSE,FALSE,TRUE,TRUE,8540,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/examples/cube_extract.R",FALSE,FALSE,TRUE,TRUE,7836,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
"artifacts/h24-final/library/oceancube/examples/cube_geometry_weights.R",FALSE,FALSE,TRUE,TRUE,4084,"operational-output",TRUE,TRUE,FALSE,FALSE,FALSE,"ignore","leave-local","git ls-files: not tracked; not in non-ignored untracked inventory; git ignored inventory: ignored; filesystem: exists; category: operational-output; generated-path/type evidence; operational location/type evidence","Local operational file: do not use git mv."
