"function_name","module","exists_now","current_equivalent","release_tier","required_for_end_to_end_workflow","dependency_order","estimated_complexity","scientific_risk","backend_risk","priority_reason","notes"
"cube_locate","matching",FALSE,"","core-0.2.0",TRUE,5,"medium","medium","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_roll","aggregation",FALSE,"","post-core-0.2.x",FALSE,6,"medium","medium","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"to_day","aggregation",FALSE,"","core-0.2.0",TRUE,6,"medium","medium","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"to_month","aggregation",TRUE,"to_month","core-0.2.0",TRUE,6,"low","medium","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"to_season","aggregation",FALSE,"","core-0.2.0",TRUE,6,"medium","medium","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"to_week","aggregation",FALSE,"","core-0.2.0",TRUE,6,"medium","medium","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"to_year","aggregation",FALSE,"annual_index is related but not behaviorally equivalent","core-0.2.0",TRUE,6,"medium","medium","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"clim_custom","climatology",FALSE,"","post-core-0.2.x",FALSE,7,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"clim_day","climatology",TRUE,"clim_day","core-0.2.0",TRUE,7,"low","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"clim_month","climatology",TRUE,"clim_month","core-0.2.0",TRUE,7,"low","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"clim_season","climatology",FALSE,"","core-0.2.0",TRUE,7,"medium","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"clim_week","climatology",FALSE,"","core-0.2.0",TRUE,7,"medium","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"clim_year","climatology",FALSE,"","post-core-0.2.x",FALSE,7,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"anom_class","anomaly",FALSE,"","post-core-0.2.x",FALSE,8,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"anom_cumsum","anomaly",FALSE,"","post-core-0.2.x",FALSE,8,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"anom_diff","anomaly",TRUE,"anom_diff","core-0.2.0",TRUE,8,"low","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"anom_percent","anomaly",FALSE,"","core-0.2.0",TRUE,8,"medium","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"anom_percentile","anomaly",FALSE,"","post-core-0.2.x",FALSE,8,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"anom_ratio","anomaly",FALSE,"","post-core-0.2.x",FALSE,8,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"anom_robust","anomaly",FALSE,"","core-0.2.0",TRUE,8,"medium","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"anom_z","anomaly",TRUE,"anom_z","core-0.2.0",TRUE,8,"low","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"signal_noise","anomaly",TRUE,"signal_noise","core-0.2.0",TRUE,8,"low","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_detrend","change",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_diff","change",FALSE,"","core-0.2.0",TRUE,9,"medium","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_gradient","change",FALSE,"","future",FALSE,9,"medium","high","low","Optional backend or advanced geometry/visualization capability; explicitly excluded as a core dependency.",""
"cube_rate","change",FALSE,"","core-0.2.0",TRUE,9,"medium","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_rolling_slope","change",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_slope","change",FALSE,"","core-0.2.0",TRUE,9,"medium","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_vertical_gradient","change",FALSE,"","future",FALSE,9,"medium","high","low","Optional backend or advanced geometry/visualization capability; explicitly excluded as a core dependency.",""
"cube_cell_area","geometry",TRUE,"cube_cell_area","post-core-0.2.x",FALSE,9,"low","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_cell_volume","geometry",TRUE,"cube_cell_volume","post-core-0.2.x",FALSE,9,"low","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_layer_thickness","geometry",TRUE,"cube_layer_thickness","post-core-0.2.x",FALSE,9,"low","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_polygon_weights","geometry",TRUE,"cube_polygon_weights","post-core-0.2.x",FALSE,9,"low","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_area_mean","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_count","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_exceedance","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_max","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_mean","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_median","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_min","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_quantile","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_region_summary","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_sd","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_vertical_integral","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"cube_vertical_mean","summary",FALSE,"layer_mean","core-0.2.0",TRUE,9,"medium","high","low","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"cube_volume_mean","summary",FALSE,"","post-core-0.2.x",FALSE,9,"medium","high","low","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.anomaly","visualization",FALSE,"","post-core-0.2.x",FALSE,10,"high","low","medium","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.climatology","visualization",FALSE,"","post-core-0.2.x",FALSE,10,"high","low","medium","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.compare","visualization",FALSE,"","post-core-0.2.x",FALSE,10,"high","low","medium","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.coverage","visualization",FALSE,"","post-core-0.2.x",FALSE,10,"high","low","medium","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.hovmoller","visualization",FALSE,"","core-0.2.0",TRUE,10,"high","low","medium","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"viz.map","visualization",FALSE,"","core-0.2.0",TRUE,10,"high","low","medium","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"viz.profile","visualization",FALSE,"","core-0.2.0",TRUE,10,"high","low","medium","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"viz.quality","visualization",FALSE,"","post-core-0.2.x",FALSE,10,"high","low","medium","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.save","visualization",FALSE,"","core-0.2.0",TRUE,10,"high","low","medium","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"viz.section","visualization",FALSE,"","core-0.2.0",TRUE,10,"high","low","medium","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"viz.series","visualization",FALSE,"","core-0.2.0",TRUE,10,"high","low","medium","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"viz.slope","visualization",FALSE,"","post-core-0.2.x",FALSE,10,"high","low","medium","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.uncertainty","visualization",FALSE,"","post-core-0.2.x",FALSE,10,"high","low","medium","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.vector","visualization",FALSE,"","future",FALSE,10,"high","low","medium","Optional backend or advanced geometry/visualization capability; explicitly excluded as a core dependency.",""
"viz.animate","animation",FALSE,"","post-core-0.2.x",FALSE,11,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.animate_hovmoller","animation",FALSE,"","post-core-0.2.x",FALSE,11,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.animate_map","animation",FALSE,"","core-0.2.0",TRUE,11,"high","low","high","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"viz.animate_profile","animation",FALSE,"","post-core-0.2.x",FALSE,11,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.animate_section","animation",FALSE,"","post-core-0.2.x",FALSE,11,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"viz.save_gif","animation",FALSE,"","core-0.2.0",TRUE,11,"high","low","high","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"write_metadata","export",FALSE,"","post-core-0.2.x",FALSE,10,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"write_nc","export",FALSE,"","core-0.2.0",TRUE,10,"high","low","high","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"write_rds","export",FALSE,"","post-core-0.2.x",FALSE,10,"high","low","high","Valuable extension that can ship after the end-to-end core contract and validation are stable.",""
"write_stac","export",FALSE,"","future",FALSE,10,"high","low","high","Optional backend or advanced geometry/visualization capability; explicitly excluded as a core dependency.","STAC/Zarr must not become a core dependency."
"write_table","export",FALSE,"","core-0.2.0",TRUE,10,"high","low","high","Required for the smallest complete ingest-to-analysis-to-output workflow.",""
"write_zarr","export",FALSE,"","future",FALSE,10,"high","low","high","Optional backend or advanced geometry/visualization capability; explicitly excluded as a core dependency.","STAC/Zarr must not become a core dependency."
