"function_name","source_file","line_start","line_end","top_level","exported","s3_method","local_function","duplicate_definition","verified_source_defined","previous_audit_classification","corrected_classification","evidence","notes"
".new_selected_memory_cube","R/backend-memory.R",509,536,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-memory.R:509 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_abort","R/backend-netcdf.R",3,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:3 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_scalar_string","R/backend-netcdf.R",7,23,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:7 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_attribute","R/backend-netcdf.R",25,31,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:25 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_optional_string","R/backend-netcdf.R",33,38,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:33 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_optional_number","R/backend-netcdf.R",40,45,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:40 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_as_utc","R/backend-netcdf.R",47,53,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:47 top-level assignment to function; not exported in NAMESPACE",""
".with_netcdf_connection","R/backend-netcdf.R",55,72,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:55 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_file_identity","R/backend-netcdf.R",74,117,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:74 top-level assignment to function; not exported in NAMESPACE",""
".validate_netcdf_file_identity","R/backend-netcdf.R",119,190,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:119 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_dimension_metadata","R/backend-netcdf.R",192,216,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:192 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_dimension_evidence","R/backend-netcdf.R",218,263,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:218 top-level assignment to function; not exported in NAMESPACE",""
".resolve_netcdf_dimension","R/backend-netcdf.R",265,354,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:265 top-level assignment to function; not exported in NAMESPACE",""
".read_netcdf_coordinate","R/backend-netcdf.R",356,362,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:356 top-level assignment to function; not exported in NAMESPACE",""
".decode_netcdf_time","R/backend-netcdf.R",364,429,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:364 top-level assignment to function; not exported in NAMESPACE",""
".validate_netcdf_variables_argument","R/backend-netcdf.R",431,445,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:431 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_variable_map","R/backend-netcdf.R",447,574,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:447 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_canonical_dimension","R/backend-netcdf.R",576,591,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:576 top-level assignment to function; not exported in NAMESPACE",""
".new_netcdf_storage","R/backend-netcdf.R",593,840,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:593 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_contains_forbidden_object","R/backend-netcdf.R",842,851,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:842 top-level assignment to function; not exported in NAMESPACE",""
".validate_netcdf_storage","R/backend-netcdf.R",853,1124,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:853 top-level assignment to function; not exported in NAMESPACE",""
"valid_permutation","R/backend-netcdf.R",1054,1058,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"not-counted-separately","local-function-excluded","Named function assignment nested inside top-level function .validate_netcdf_storage; excluded from package function count.","Not an oceancube top-level function; anonymous callbacks are not counted."
".translate_netcdf_block","R/backend-netcdf.R",1126,1188,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:1126 top-level assignment to function; not exported in NAMESPACE",""
".ncvar_get_block","R/backend-netcdf.R",1190,1212,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:1190 top-level assignment to function; not exported in NAMESPACE",""
".decode_netcdf_block","R/backend-netcdf.R",1214,1233,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:1214 top-level assignment to function; not exported in NAMESPACE",""
".validate_netcdf_physical_schema","R/backend-netcdf.R",1235,1284,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:1235 top-level assignment to function; not exported in NAMESPACE",""
".read_netcdf_variable_block","R/backend-netcdf.R",1286,1351,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:1286 top-level assignment to function; not exported in NAMESPACE",""
".netcdf_block_dimnames","R/backend-netcdf.R",1353,1364,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:1353 top-level assignment to function; not exported in NAMESPACE",""
".read_netcdf_index_plan","R/backend-netcdf.R",1366,1414,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:1366 top-level assignment to function; not exported in NAMESPACE",""
".cube_read_block_netcdf","R/backend-netcdf.R",1416,1425,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:1416 top-level assignment to function; not exported in NAMESPACE",""
".cube_read_netcdf","R/backend-netcdf.R",1427,1441,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:1427 top-level assignment to function; not exported in NAMESPACE",""
".cube_read_spatial_pairs_netcdf","R/backend-netcdf.R",1443,1536,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:1443 top-level assignment to function; not exported in NAMESPACE",""
".new_netcdf_cube","R/backend-netcdf.R",1538,1609,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/backend-netcdf.R:1538 top-level assignment to function; not exported in NAMESPACE",""
"clim_day","R/clim_day.R",19,114,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/clim_day.R:19 top-level assignment to function; registered by export() in NAMESPACE",""
"print.ocean_clim","R/clim_day.R",117,125,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"internal","s3-method-top-level","R/clim_day.R:117 top-level assignment to function; registered by S3method() in NAMESPACE",""
".daily_keys","R/clim_day.R",127,134,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/clim_day.R:127 top-level assignment to function; not exported in NAMESPACE",""
".date_key","R/clim_day.R",136,149,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/clim_day.R:136 top-level assignment to function; not exported in NAMESPACE",""
"clim_month","R/clim_month.R",8,68,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/clim_month.R:8 top-level assignment to function; registered by export() in NAMESPACE",""
"cm_setup","R/cm_setup.R",13,40,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cm_setup.R:13 top-level assignment to function; registered by export() in NAMESPACE",""
"cm_connect","R/cm_setup.R",51,62,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cm_setup.R:51 top-level assignment to function; registered by export() in NAMESPACE",""
"coast_dist","R/coast_dist.R",8,38,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/coast_dist.R:8 top-level assignment to function; registered by export() in NAMESPACE",""
"cube_collect","R/cube_collect.R",35,87,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cube_collect.R:35 top-level assignment to function; registered by export() in NAMESPACE",""
".cube_estimated_bytes","R/cube_collect.R",89,109,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_collect.R:89 top-level assignment to function; not exported in NAMESPACE",""
"cube_crop","R/cube_crop.R",59,147,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cube_crop.R:59 top-level assignment to function; registered by export() in NAMESPACE",""
".resolve_crop_bbox","R/cube_crop.R",149,201,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_crop.R:149 top-level assignment to function; not exported in NAMESPACE",""
".resolve_cube_crop","R/cube_crop.R",203,261,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_crop.R:203 top-level assignment to function; not exported in NAMESPACE",""
".validate_numeric_crop_range","R/cube_crop.R",263,286,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_crop.R:263 top-level assignment to function; not exported in NAMESPACE",""
".crop_range_outside","R/cube_crop.R",288,301,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_crop.R:288 top-level assignment to function; not exported in NAMESPACE",""
".crop_range_no_overlap","R/cube_crop.R",303,316,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_crop.R:303 top-level assignment to function; not exported in NAMESPACE",""
".crop_range_no_coordinates","R/cube_crop.R",318,329,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_crop.R:318 top-level assignment to function; not exported in NAMESPACE",""
".resolve_numeric_crop_range","R/cube_crop.R",331,397,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_crop.R:331 top-level assignment to function; not exported in NAMESPACE",""
".crop_time_class","R/cube_crop.R",399,409,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_crop.R:399 top-level assignment to function; not exported in NAMESPACE",""
".crop_posix_timezone","R/cube_crop.R",411,417,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_crop.R:411 top-level assignment to function; not exported in NAMESPACE",""
".resolve_time_crop_range","R/cube_crop.R",419,492,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_crop.R:419 top-level assignment to function; not exported in NAMESPACE",""
"cube_extract","R/cube_extract.R",85,257,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cube_extract.R:85 top-level assignment to function; registered by export() in NAMESPACE",""
".validate_extract_flag","R/cube_extract.R",259,264,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:259 top-level assignment to function; not exported in NAMESPACE",""
".validate_extract_mode","R/cube_extract.R",266,301,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:266 top-level assignment to function; not exported in NAMESPACE",""
".estimate_cube_extract","R/cube_extract.R",303,349,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:303 top-level assignment to function; not exported in NAMESPACE",""
".extract_cube_coordinates","R/cube_extract.R",351,359,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:351 top-level assignment to function; not exported in NAMESPACE",""
".extract_selected_coordinates","R/cube_extract.R",361,363,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:361 top-level assignment to function; not exported in NAMESPACE",""
".extract_table_units","R/cube_extract.R",365,382,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:365 top-level assignment to function; not exported in NAMESPACE",""
".extract_local_indices","R/cube_extract.R",384,390,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:384 top-level assignment to function; not exported in NAMESPACE",""
".append_extract_indices","R/cube_extract.R",392,398,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:392 top-level assignment to function; not exported in NAMESPACE",""
".append_extract_distances","R/cube_extract.R",400,410,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:400 top-level assignment to function; not exported in NAMESPACE",""
".cube_extract_long","R/cube_extract.R",412,445,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:412 top-level assignment to function; not exported in NAMESPACE",""
".validate_extract_wide","R/cube_extract.R",447,484,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:447 top-level assignment to function; not exported in NAMESPACE",""
".cube_extract_wide","R/cube_extract.R",486,527,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_extract.R:486 top-level assignment to function; not exported in NAMESPACE",""
"cube_cell_area","R/cube_grid_geometry.R",15,37,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cube_grid_geometry.R:15 top-level assignment to function; registered by export() in NAMESPACE",""
"cube_layer_thickness","R/cube_grid_geometry.R",55,71,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cube_grid_geometry.R:55 top-level assignment to function; registered by export() in NAMESPACE",""
"cube_cell_volume","R/cube_grid_geometry.R",88,112,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cube_grid_geometry.R:88 top-level assignment to function; registered by export() in NAMESPACE",""
".with_s2_geometry","R/cube_grid_geometry.R",114,125,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_grid_geometry.R:114 top-level assignment to function; not exported in NAMESPACE",""
".cube_horizontal_geometry","R/cube_grid_geometry.R",127,157,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_grid_geometry.R:127 top-level assignment to function; not exported in NAMESPACE",""
".cube_axis_bounds","R/cube_grid_geometry.R",159,234,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_grid_geometry.R:159 top-level assignment to function; not exported in NAMESPACE",""
".validate_geometry_axis","R/cube_grid_geometry.R",236,262,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_grid_geometry.R:236 top-level assignment to function; not exported in NAMESPACE",""
".axis_bounds_metadata","R/cube_grid_geometry.R",264,290,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_grid_geometry.R:264 top-level assignment to function; not exported in NAMESPACE",""
".bounds_to_pairs","R/cube_grid_geometry.R",292,313,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_grid_geometry.R:292 top-level assignment to function; not exported in NAMESPACE",""
".cube_vertical_geometry","R/cube_grid_geometry.R",315,369,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_grid_geometry.R:315 top-level assignment to function; not exported in NAMESPACE",""
".vertical_bounds_metadata","R/cube_grid_geometry.R",371,416,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_grid_geometry.R:371 top-level assignment to function; not exported in NAMESPACE",""
".normalize_depth_unit","R/cube_grid_geometry.R",418,438,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_grid_geometry.R:418 top-level assignment to function; not exported in NAMESPACE",""
".depth_conversion_factor","R/cube_grid_geometry.R",440,463,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_grid_geometry.R:440 top-level assignment to function; not exported in NAMESPACE",""
"cube_mask","R/cube_mask.R",72,184,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cube_mask.R:72 top-level assignment to function; registered by export() in NAMESPACE",""
".normalize_polygon_geometry","R/cube_mask.R",186,325,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:186 top-level assignment to function; not exported in NAMESPACE",""
".polygon_crosses_antimeridian","R/cube_mask.R",327,338,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:327 top-level assignment to function; not exported in NAMESPACE",""
"ring_crosses","R/cube_mask.R",328,336,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"not-counted-separately","local-function-excluded","Named function assignment nested inside top-level function .polygon_crosses_antimeridian; excluded from package function count.","Not an oceancube top-level function; anonymous callbacks are not counted."
".cube_cell_centers","R/cube_mask.R",340,352,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:340 top-level assignment to function; not exported in NAMESPACE",""
".classify_cell_centers","R/cube_mask.R",354,376,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:354 top-level assignment to function; not exported in NAMESPACE",""
".combine_cube_masks","R/cube_mask.R",378,404,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:378 top-level assignment to function; not exported in NAMESPACE",""
".typed_missing","R/cube_mask.R",406,417,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:406 top-level assignment to function; not exported in NAMESPACE",""
".canonical_cube_dimnames","R/cube_mask.R",419,427,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:419 top-level assignment to function; not exported in NAMESPACE",""
".apply_cube_mask_5d","R/cube_mask.R",429,456,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:429 top-level assignment to function; not exported in NAMESPACE",""
".plan_masked_cube_read","R/cube_mask.R",458,518,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:458 top-level assignment to function; not exported in NAMESPACE",""
".read_masked_cube_values","R/cube_mask.R",520,542,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:520 top-level assignment to function; not exported in NAMESPACE",""
".mask_coverage","R/cube_mask.R",544,567,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:544 top-level assignment to function; not exported in NAMESPACE",""
".new_polygon_ocean_mask","R/cube_mask.R",569,593,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_mask.R:569 top-level assignment to function; not exported in NAMESPACE",""
"cube_polygon_weights","R/cube_polygon_weights.R",32,114,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cube_polygon_weights.R:32 top-level assignment to function; registered by export() in NAMESPACE",""
".polygon_feature_ids","R/cube_polygon_weights.R",116,141,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_polygon_weights.R:116 top-level assignment to function; not exported in NAMESPACE",""
".polygon_cell_intersections","R/cube_polygon_weights.R",143,212,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_polygon_weights.R:143 top-level assignment to function; not exported in NAMESPACE",""
".polygon_weight_table","R/cube_polygon_weights.R",214,260,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_polygon_weights.R:214 top-level assignment to function; not exported in NAMESPACE",""
".polygon_feature_coverage","R/cube_polygon_weights.R",262,289,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_polygon_weights.R:262 top-level assignment to function; not exported in NAMESPACE",""
".add_polygon_coverage_columns","R/cube_polygon_weights.R",291,299,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_polygon_weights.R:291 top-level assignment to function; not exported in NAMESPACE",""
".expand_polygon_weights_depth","R/cube_polygon_weights.R",301,317,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_polygon_weights.R:301 top-level assignment to function; not exported in NAMESPACE",""
"cube_slice","R/cube_slice.R",66,171,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"public","exported-top-level","R/cube_slice.R:66 top-level assignment to function; registered by export() in NAMESPACE",""
".resolve_cube_slice","R/cube_slice.R",173,253,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:173 top-level assignment to function; not exported in NAMESPACE",""
".validate_slice_selector_vector","R/cube_slice.R",255,263,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:255 top-level assignment to function; not exported in NAMESPACE",""
".slice_format_values","R/cube_slice.R",265,267,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:265 top-level assignment to function; not exported in NAMESPACE",""
".slice_outside_domain","R/cube_slice.R",269,280,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:269 top-level assignment to function; not exported in NAMESPACE",""
".slice_not_found","R/cube_slice.R",282,291,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:282 top-level assignment to function; not exported in NAMESPACE",""
".slice_beyond_tolerance","R/cube_slice.R",293,302,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"internal","internal-top-level","R/cube_slice.R:293 top-level assignment to function; not exported in NAMESPACE",""
