"path","tracked","ignored","category","required_for_package","required_for_tests","required_for_documentation","generated","reproducible","contains_operational_data","contains_local_path","duplicate_group","decision","destination","deletion_requires_approval","evidence","notes"
".Rproj.user/0B557707/pcs/files-pane.pper",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/pcs/source-pane.pper",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/pcs/windowlayoutstate.pper",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/pcs/workbench-pane.pper",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/persistent-state",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/rmd-outputs",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/saved_source_markers",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/prop/0E8BDBF2",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/prop/26268287",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/prop/2B5AFB91",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/prop/353243C3",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/prop/555DA84C",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/prop/56EF7529",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/prop/C5A5BFDF",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/prop/EC7AB064",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/prop/F6B86399",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/prop/F8E195E0",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/prop/INDEX",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/1D90F40C",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/1D90F40C-contents",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/241F9C8C",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/241F9C8C-contents",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/32938575",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/32938575-contents",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/3F0F0018",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/3F0F0018-contents",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/409B6B14",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/409B6B14-contents",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/61D2B7B5",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/61D2B7B5-contents",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/7A74702B",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/7A74702B-contents",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/7E5E8195-contents",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/E1A8FE7C",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/E1A8FE7C-contents",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/FD70EB7A",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/FD70EB7A-contents",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/0B557707/sources/session-b80ddbe2/lock_file",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/shared/notebooks/patch-chunk-names",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
".Rproj.user/shared/notebooks/paths",FALSE,TRUE,"other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","review","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as other; path/type does not establish generated output","Insufficient evidence for an irreversible classification."
"_pkgdown.yml",TRUE,FALSE,"configuration",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"","retain","",FALSE,"git ls-files: tracked; not in ignored inventory; classified as configuration; path/type does not establish generated output",""
"artifacts/.crop-certification/oceancube_0.0.0.9000.tar.gz",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/.extract-certification/oceancube_0.0.0.9000.tar.gz",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js",FALSE,TRUE,"caches",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"","remove-candidate","",TRUE,"git ls-files: not tracked; matched current ignore rules; classified as caches; path/type indicates generated output","Candidate only: do not delete without explicit human approval and a fresh safety check."
"artifacts/h24-final/cache/R/pkgdown/clipboard.js/2.0.11/clipboard.min.js",FALSE,TRUE,"caches",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"","remove-candidate","",TRUE,"git ls-files: not tracked; matched current ignore rules; classified as caches; path/type indicates generated output","Candidate only: do not delete without explicit human approval and a fresh safety check."
"artifacts/h24-final/cache/R/pkgdown/headroom/0.11.0/headroom.min.js",FALSE,TRUE,"caches",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"","remove-candidate","",TRUE,"git ls-files: not tracked; matched current ignore rules; classified as caches; path/type indicates generated output","Candidate only: do not delete without explicit human approval and a fresh safety check."
"artifacts/h24-final/cache/R/pkgdown/headroom/0.11.0/jQuery.headroom.min.js",FALSE,TRUE,"caches",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"","remove-candidate","",TRUE,"git ls-files: not tracked; matched current ignore rules; classified as caches; path/type indicates generated output","Candidate only: do not delete without explicit human approval and a fresh safety check."
"artifacts/h24-final/cache/R/pkgdown/http/918fb91ebd579178c7691d8e95bbddae.rds",FALSE,TRUE,"RDS",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"","relocate-later","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as RDS; path/type does not establish generated output; data extension/location may contain operational data","No move or merge is authorized by this decision document alone."
"artifacts/h24-final/cache/R/pkgdown/search/1.0.0/autocomplete.jquery.min.js",FALSE,TRUE,"caches",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"","remove-candidate","",TRUE,"git ls-files: not tracked; matched current ignore rules; classified as caches; path/type indicates generated output","Candidate only: do not delete without explicit human approval and a fresh safety check."
"artifacts/h24-final/cache/R/pkgdown/search/1.0.0/fuse.min.js",FALSE,TRUE,"caches",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"","remove-candidate","",TRUE,"git ls-files: not tracked; matched current ignore rules; classified as caches; path/type indicates generated output","Candidate only: do not delete without explicit human approval and a fresh safety check."
"artifacts/h24-final/cache/R/pkgdown/search/1.0.0/mark.min.js",FALSE,TRUE,"caches",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"","remove-candidate","",TRUE,"git ls-files: not tracked; matched current ignore rules; classified as caches; path/type indicates generated output","Candidate only: do not delete without explicit human approval and a fresh safety check."
"artifacts/h24-final/cache/R/sass/239dca29cf53d3dbd4cb157aefcb5b9e",FALSE,TRUE,"caches",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","remove-candidate","",TRUE,"git ls-files: not tracked; matched current ignore rules; classified as caches; path/type indicates generated output","Candidate only: do not delete without explicit human approval and a fresh safety check."
"artifacts/h24-final/library/oceancube/architecture/oceancube-spatind-boundary.md",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/CITATION",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/DESCRIPTION",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/get-started.html",FALSE,TRUE,"rendered HTML",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as rendered HTML; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/get-started.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/get-started.Rmd",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/index.html",FALSE,TRUE,"rendered HTML",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as rendered HTML; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/oceancube-architecture.html",FALSE,TRUE,"rendered HTML",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as rendered HTML; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/oceancube-architecture.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/oceancube-architecture.Rmd",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/oceancube-geometry-weights.html",FALSE,TRUE,"rendered HTML",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as rendered HTML; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/oceancube-geometry-weights.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/oceancube-geometry-weights.Rmd",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/oceancube-introduction.html",FALSE,TRUE,"rendered HTML",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as rendered HTML; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/oceancube-introduction.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/doc/oceancube-introduction.Rmd",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/backend_memory.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/backend_netcdf_descriptor.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/backend_netcdf_read_block.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/baseline_ocean_cube.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/cube_crop.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/cube_extract.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/cube_geometry_weights.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/cube_mask.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/cube_slice.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/cube_transect.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/noncontiguous_collect.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/ocean_cube_contract.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/refactor_coast_dist_backend.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/refactor_layer_annual_backend.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/refactor_link_events_backend.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/examples/refactor_temporal_backend.R",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/help/aliases.rds",FALSE,TRUE,"RDS",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"","relocate-later","approved external data store or minimal test fixture; preserve until checksum and provenance are recorded",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as RDS; path/type does not establish generated output; data extension/location may contain operational data","No move or merge is authorized by this decision document alone."
"artifacts/h24-final/library/oceancube/help/AnIndex",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
"artifacts/h24-final/library/oceancube/help/oceancube.rdb",FALSE,TRUE,"artifacts",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"","ignore","",FALSE,"git ls-files: not tracked; matched current ignore rules; classified as artifacts; path/type indicates generated output",""
