"function_name","source_file","called_by","calls","module","current_role","decision","proposed_file","duplicate","apparently_unused","dynamic_use_possible","tests","risk","evidence","notes"
".cube_storage_shape","R/backend-memory.R",".cube_read_block; .cube_read_block_netcdf",".cube_backend; .validate_memory_backend; .validate_netcdf_storage","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-refactor-coast-dist-backend.R","low","R/backend-memory.R:90 verified top-level definition; static callers: .cube_read_block; .cube_read_block_netcdf; tests: tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-refactor-coast-dist-backend.R; documentation: inst/examples/refactor_coast_dist_backend.R","Retain behavior; physical movement requires a later no-behavior-change commit."
".require_memory_backend","R/backend-memory.R",".cube_read; .cube_read_block; .cube_read_spatial_pairs_memory; .cube_write_block",".check_cube; .cube_backend","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"","low","R/backend-memory.R:106 verified top-level definition; static callers: .cube_read; .cube_read_block; .cube_read_spatial_pairs_memory; .cube_write_block; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_cube_position","R/backend-memory.R",".validate_cube_index",".abort_badarg","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"","low","R/backend-memory.R:120 verified top-level definition; static callers: .validate_cube_index; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_cube_index","R/backend-memory.R",".cube_read; .plan_cube_index_read; .resolve_cube_crop; .resolve_cube_slice; .validate_spatial_pair_read",".abort_badarg; .cube_axis_names; .validate_cube_position","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"","low","R/backend-memory.R:167 verified top-level definition; static callers: .cube_read; .plan_cube_index_read; .resolve_cube_crop; .resolve_cube_slice; .validate_spatial_pair_read; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_cube_block_vector","R/backend-memory.R",".validate_cube_block",".abort_badarg; .cube_axis_names","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"","low","R/backend-memory.R:219 verified top-level definition; static callers: .validate_cube_block; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_cube_block","R/backend-memory.R",".cube_read_block; .cube_read_block_netcdf; .cube_write_block",".cube_axis_names; .validate_cube_block_vector","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"","low","R/backend-memory.R:256 verified top-level definition; static callers: .cube_read_block; .cube_read_block_netcdf; .cube_write_block; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_read","R/backend-memory.R",".anom_from_clim; .cube_read_block; .read_event_values; .read_masked_cube_values; annual_index; clim_day; clim_month; crop_stock; cube_collect; cube_crop; cube_extract; cube_slice; layer_mean; to_month",".abort_badarg; .cube_backend; .cube_read_netcdf; .require_memory_backend; .validate_cube_index","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-slice.R; tests/testthat/test-refactor-coast-dist-backend.R; tests/testthat/test-refactor-link-events-backend.R","low","R/backend-memory.R:295 verified top-level definition; static callers: .anom_from_clim; .cube_read_block; .read_event_values; .read_masked_cube_values; annual_index; clim_day; clim_month; crop_stock; cube_collect; cube_crop; cube_extract; cube_slice; layer_mean; to_month; tests: tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-slice.R; tests/testthat/test-refactor-coast-dist-backend.R; tests/testthat/test-refactor-link-events-backend.R; documentation: inst/examples/backend_memory.R; inst/examples/backend_netcdf_descriptor.R; inst/examples/backend_netcdf_read_block.R; inst/examples/cube_crop.R; inst/examples/cube_mask.R; inst/examples/cube_slice.R","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_read_block","R/backend-memory.R","",".cube_backend; .cube_read; .cube_read_block_netcdf; .cube_storage_shape; .require_memory_backend; .validate_cube_block","backend/netcdf","helper exercised directly by tests","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-read-block.R","low","R/backend-memory.R:324 verified top-level definition; no static caller; tests: tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-read-block.R; documentation: inst/examples/backend_memory.R; inst/examples/backend_netcdf_read_block.R","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_read_spatial_pairs_memory","R/backend-memory.R",".cube_read_spatial_pairs",".require_memory_backend; .spatial_pair_map; .validate_spatial_pair_read","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"","low","R/backend-memory.R:339 verified top-level definition; static callers: .cube_read_spatial_pairs; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".cube_write_block","R/backend-memory.R","",".abort_badarg; .check_cube; .cube_backend; .require_memory_backend; .validate_cube_block","backend/netcdf","helper exercised directly by tests","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-collect.R; tests/testthat/test-refactor-coast-dist-backend.R","low","R/backend-memory.R:394 verified top-level definition; no static caller; tests: tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-collect.R; tests/testthat/test-refactor-coast-dist-backend.R; documentation: inst/examples/backend_memory.R; inst/examples/backend_netcdf_descriptor.R; inst/examples/backend_netcdf_read_block.R; inst/examples/noncontiguous_collect.R; inst/examples/refactor_coast_dist_backend.R","Retain behavior; physical movement requires a later no-behavior-change commit."
".new_collected_memory_cube","R/backend-memory.R","cube_collect; cube_mask",".check_cube; ocean_cube","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"","low","R/backend-memory.R:482 verified top-level definition; static callers: cube_collect; cube_mask; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".new_selected_memory_cube","R/backend-memory.R","cube_crop; cube_slice",".check_cube; ocean_cube","backend/netcdf","static helper used by package functions","retain-internal","R/backend-memory.R",FALSE,FALSE,FALSE,"","low","R/backend-memory.R:509 verified top-level definition; static callers: cube_crop; cube_slice; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_abort","R/backend-netcdf.R",".decode_netcdf_time; .ncvar_get_block; .netcdf_file_identity; .netcdf_variable_map; .new_netcdf_storage; .read_netcdf_variable_block; .resolve_netcdf_dimension; .translate_netcdf_block; .validate_netcdf_file_identity; .validate_netcdf_physical_schema; .validate_netcdf_storage; .with_netcdf_connection","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:3 verified top-level definition; static callers: .decode_netcdf_time; .ncvar_get_block; .netcdf_file_identity; .netcdf_variable_map; .new_netcdf_storage; .read_netcdf_variable_block; .resolve_netcdf_dimension; .translate_netcdf_block; .validate_netcdf_file_identity; .validate_netcdf_physical_schema; .validate_netcdf_storage; .with_netcdf_connection; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_scalar_string","R/backend-netcdf.R",".netcdf_file_identity; .new_netcdf_cube; .new_netcdf_storage; .resolve_netcdf_dimension; .validate_netcdf_file_identity; .with_netcdf_connection",".abort_badarg","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:7 verified top-level definition; static callers: .netcdf_file_identity; .new_netcdf_cube; .new_netcdf_storage; .resolve_netcdf_dimension; .validate_netcdf_file_identity; .with_netcdf_connection; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_attribute","R/backend-netcdf.R",".netcdf_dimension_metadata; .netcdf_variable_map","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:25 verified top-level definition; static callers: .netcdf_dimension_metadata; .netcdf_variable_map; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_optional_string","R/backend-netcdf.R",".decode_netcdf_time; .netcdf_dimension_metadata; .netcdf_variable_map","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:33 verified top-level definition; static callers: .decode_netcdf_time; .netcdf_dimension_metadata; .netcdf_variable_map; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_optional_number","R/backend-netcdf.R",".netcdf_variable_map","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:40 verified top-level definition; static callers: .netcdf_variable_map; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_as_utc","R/backend-netcdf.R",".netcdf_file_identity; .new_netcdf_storage; .validate_netcdf_file_identity; cube_collect; cube_crop; cube_extract; cube_mask; cube_slice","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:47 verified top-level definition; static callers: .netcdf_file_identity; .new_netcdf_storage; .validate_netcdf_file_identity; cube_collect; cube_crop; cube_extract; cube_mask; cube_slice; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".with_netcdf_connection","R/backend-netcdf.R",".cube_read_spatial_pairs_netcdf; .new_netcdf_storage; .read_netcdf_index_plan",".abort_badarg; .netcdf_abort; .netcdf_scalar_string","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-netcdf-read-block.R","low","R/backend-netcdf.R:55 verified top-level definition; static callers: .cube_read_spatial_pairs_netcdf; .new_netcdf_storage; .read_netcdf_index_plan; tests: tests/testthat/test-backend-netcdf-read-block.R; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_file_identity","R/backend-netcdf.R",".new_netcdf_storage",".netcdf_abort; .netcdf_as_utc; .netcdf_scalar_string","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:74 verified top-level definition; static callers: .new_netcdf_storage; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_netcdf_file_identity","R/backend-netcdf.R",".validate_netcdf_storage",".netcdf_abort; .netcdf_as_utc; .netcdf_scalar_string","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:119 verified top-level definition; static callers: .validate_netcdf_storage; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_dimension_metadata","R/backend-netcdf.R",".new_netcdf_storage",".netcdf_attribute; .netcdf_optional_string","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:192 verified top-level definition; static callers: .new_netcdf_storage; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_dimension_evidence","R/backend-netcdf.R",".resolve_netcdf_dimension","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:218 verified top-level definition; static callers: .resolve_netcdf_dimension; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".resolve_netcdf_dimension","R/backend-netcdf.R",".new_netcdf_storage",".netcdf_abort; .netcdf_dimension_evidence; .netcdf_scalar_string","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:265 verified top-level definition; static callers: .new_netcdf_storage; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".read_netcdf_coordinate","R/backend-netcdf.R",".new_netcdf_storage","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:356 verified top-level definition; static callers: .new_netcdf_storage; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".decode_netcdf_time","R/backend-netcdf.R",".new_netcdf_storage",".netcdf_abort; .netcdf_optional_string","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:364 verified top-level definition; static callers: .new_netcdf_storage; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_netcdf_variables_argument","R/backend-netcdf.R",".new_netcdf_storage",".abort_badarg","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:431 verified top-level definition; static callers: .new_netcdf_storage; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_variable_map","R/backend-netcdf.R",".new_netcdf_storage",".netcdf_abort; .netcdf_attribute; .netcdf_optional_number; .netcdf_optional_string","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:447 verified top-level definition; static callers: .new_netcdf_storage; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_canonical_dimension","R/backend-netcdf.R",".new_netcdf_storage","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:576 verified top-level definition; static callers: .new_netcdf_storage; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".new_netcdf_storage","R/backend-netcdf.R","",".check_cube_coordinates; .cube_axis_names; .decode_netcdf_time; .netcdf_abort; .netcdf_as_utc; .netcdf_canonical_dimension; .netcdf_dimension_metadata; .netcdf_file_identity; .netcdf_scalar_string; .netcdf_variable_map; .read_netcdf_coordinate; .resolve_netcdf_dimension; .validate_netcdf_storage; .validate_netcdf_variables_argument; .with_netcdf_connection","backend/netcdf","helper exercised directly by tests","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-grid-geometry.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-polygon-weights.R; tests/testthat/test-cube-slice.R; tests/testthat/test-cube-transect.R; tests/testthat/test-refactor-link-events-backend.R","low","R/backend-netcdf.R:593 verified top-level definition; no static caller; tests: tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-grid-geometry.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-polygon-weights.R; tests/testthat/test-cube-slice.R; tests/testthat/test-cube-transect.R; tests/testthat/test-refactor-link-events-backend.R; documentation: inst/examples/backend_netcdf_descriptor.R; inst/examples/backend_netcdf_read_block.R; inst/examples/cube_crop.R; inst/examples/cube_extract.R; inst/examples/cube_mask.R; inst/examples/cube_slice.R","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_contains_forbidden_object","R/backend-netcdf.R",".validate_netcdf_storage","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-read-block.R","low","R/backend-netcdf.R:842 verified top-level definition; static callers: .validate_netcdf_storage; tests: tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-read-block.R; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_netcdf_storage","R/backend-netcdf.R",".check_cube; .cube_backend; .cube_read_spatial_pairs_netcdf; .cube_shape; .cube_storage_shape; .new_netcdf_cube; .new_netcdf_storage; .read_netcdf_index_plan",".cube_axis_names; .netcdf_abort; .netcdf_contains_forbidden_object; .validate_netcdf_file_identity","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-netcdf-descriptor.R","low","R/backend-netcdf.R:853 verified top-level definition; static callers: .check_cube; .cube_backend; .cube_read_spatial_pairs_netcdf; .cube_shape; .cube_storage_shape; .new_netcdf_cube; .new_netcdf_storage; .read_netcdf_index_plan; tests: tests/testthat/test-backend-netcdf-descriptor.R; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".translate_netcdf_block","R/backend-netcdf.R",".read_netcdf_variable_block","%||%; .netcdf_abort","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-netcdf-read-block.R","low","R/backend-netcdf.R:1126 verified top-level definition; static callers: .read_netcdf_variable_block; tests: tests/testthat/test-backend-netcdf-read-block.R; documentation: inst/examples/backend_netcdf_read_block.R","Retain behavior; physical movement requires a later no-behavior-change commit."
".ncvar_get_block","R/backend-netcdf.R",".read_netcdf_variable_block",".netcdf_abort","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-netcdf-read-block.R","low","R/backend-netcdf.R:1190 verified top-level definition; static callers: .read_netcdf_variable_block; tests: tests/testthat/test-backend-netcdf-read-block.R; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".decode_netcdf_block","R/backend-netcdf.R",".read_netcdf_variable_block","","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:1214 verified top-level definition; static callers: .read_netcdf_variable_block; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".validate_netcdf_physical_schema","R/backend-netcdf.R",".cube_read_spatial_pairs_netcdf; .read_netcdf_index_plan",".netcdf_abort","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"tests/testthat/test-backend-netcdf-read-block.R","low","R/backend-netcdf.R:1235 verified top-level definition; static callers: .cube_read_spatial_pairs_netcdf; .read_netcdf_index_plan; tests: tests/testthat/test-backend-netcdf-read-block.R; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".read_netcdf_variable_block","R/backend-netcdf.R",".cube_read_spatial_pairs_netcdf; .read_netcdf_index_plan",".decode_netcdf_block; .ncvar_get_block; .netcdf_abort; .translate_netcdf_block","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:1286 verified top-level definition; static callers: .cube_read_spatial_pairs_netcdf; .read_netcdf_index_plan; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
".netcdf_block_dimnames","R/backend-netcdf.R",".read_netcdf_index_plan",".cube_axis_names","backend/netcdf","static helper used by package functions","retain-internal","R/backend-netcdf.R",FALSE,FALSE,FALSE,"","low","R/backend-netcdf.R:1353 verified top-level definition; static callers: .read_netcdf_index_plan; no direct static test reference; no active documentation reference","Retain behavior; physical movement requires a later no-behavior-change commit."
