"caller","callee","caller_visibility","callee_visibility","caller_file","callee_file","relationship_type","evidence"
".cube_read_spatial_pairs",".cube_backend","internal","internal","R/backend-index.R","R/backend-memory.R","static direct symbol call","R/backend-index.R:106-126 contains call symbol .cube_backend"
".cube_read_spatial_pairs",".cube_read_spatial_pairs_memory","internal","internal","R/backend-index.R","R/backend-memory.R","static direct symbol call","R/backend-index.R:106-126 contains call symbol .cube_read_spatial_pairs_memory"
".cube_read_spatial_pairs",".cube_read_spatial_pairs_netcdf","internal","internal","R/backend-index.R","R/backend-netcdf.R","static direct symbol call","R/backend-index.R:106-126 contains call symbol .cube_read_spatial_pairs_netcdf"
".validate_spatial_pair_read",".cube_shape","internal","internal","R/backend-index.R","R/utils-internal.R","static direct symbol call","R/backend-index.R:128-155 contains call symbol .cube_shape"
".validate_spatial_pair_read",".validate_cube_index","internal","internal","R/backend-index.R","R/backend-memory.R","static direct symbol call","R/backend-index.R:128-155 contains call symbol .validate_cube_index"
".validate_spatial_pair_read",".abort_badarg","internal","internal","R/backend-index.R","R/utils-internal.R","static direct symbol call","R/backend-index.R:128-155 contains call symbol .abort_badarg"
".cube_backend",".validate_netcdf_storage","internal","internal","R/backend-memory.R","R/backend-netcdf.R","static direct symbol call","R/backend-memory.R:7-42 contains call symbol .validate_netcdf_storage"
".validate_memory_backend",".abort_badarg","internal","internal","R/backend-memory.R","R/utils-internal.R","static direct symbol call","R/backend-memory.R:44-88 contains call symbol .abort_badarg"
".validate_memory_backend",".cube_axis_names","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:44-88 contains call symbol .cube_axis_names"
".cube_storage_shape",".cube_backend","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:90-104 contains call symbol .cube_backend"
".cube_storage_shape",".validate_memory_backend","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:90-104 contains call symbol .validate_memory_backend"
".cube_storage_shape",".validate_netcdf_storage","internal","internal","R/backend-memory.R","R/backend-netcdf.R","static direct symbol call","R/backend-memory.R:90-104 contains call symbol .validate_netcdf_storage"
".require_memory_backend",".check_cube","internal","internal","R/backend-memory.R","R/utils-internal.R","static direct symbol call","R/backend-memory.R:106-118 contains call symbol .check_cube"
".require_memory_backend",".cube_backend","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:106-118 contains call symbol .cube_backend"
".validate_cube_position",".abort_badarg","internal","internal","R/backend-memory.R","R/utils-internal.R","static direct symbol call","R/backend-memory.R:120-165 contains call symbol .abort_badarg"
".validate_cube_index",".cube_axis_names","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:167-217 contains call symbol .cube_axis_names"
".validate_cube_index",".abort_badarg","internal","internal","R/backend-memory.R","R/utils-internal.R","static direct symbol call","R/backend-memory.R:167-217 contains call symbol .abort_badarg"
".validate_cube_index",".validate_cube_position","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:167-217 contains call symbol .validate_cube_position"
".validate_cube_block_vector",".cube_axis_names","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:219-254 contains call symbol .cube_axis_names"
".validate_cube_block_vector",".abort_badarg","internal","internal","R/backend-memory.R","R/utils-internal.R","static direct symbol call","R/backend-memory.R:219-254 contains call symbol .abort_badarg"
".validate_cube_block",".cube_axis_names","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:256-293 contains call symbol .cube_axis_names"
".validate_cube_block",".validate_cube_block_vector","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:256-293 contains call symbol .validate_cube_block_vector"
".cube_read",".cube_backend","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:295-322 contains call symbol .cube_backend"
".cube_read",".cube_read_netcdf","internal","internal","R/backend-memory.R","R/backend-netcdf.R","static direct symbol call","R/backend-memory.R:295-322 contains call symbol .cube_read_netcdf"
".cube_read",".require_memory_backend","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:295-322 contains call symbol .require_memory_backend"
".cube_read",".abort_badarg","internal","internal","R/backend-memory.R","R/utils-internal.R","static direct symbol call","R/backend-memory.R:295-322 contains call symbol .abort_badarg"
".cube_read",".validate_cube_index","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:295-322 contains call symbol .validate_cube_index"
".cube_read_block",".cube_backend","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:324-337 contains call symbol .cube_backend"
".cube_read_block",".cube_read_block_netcdf","internal","internal","R/backend-memory.R","R/backend-netcdf.R","static direct symbol call","R/backend-memory.R:324-337 contains call symbol .cube_read_block_netcdf"
".cube_read_block",".require_memory_backend","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:324-337 contains call symbol .require_memory_backend"
".cube_read_block",".validate_cube_block","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:324-337 contains call symbol .validate_cube_block"
".cube_read_block",".cube_storage_shape","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:324-337 contains call symbol .cube_storage_shape"
".cube_read_block",".cube_read","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:324-337 contains call symbol .cube_read"
".cube_read_spatial_pairs_memory",".require_memory_backend","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:339-392 contains call symbol .require_memory_backend"
".cube_read_spatial_pairs_memory",".validate_spatial_pair_read","internal","internal","R/backend-memory.R","R/backend-index.R","static direct symbol call","R/backend-memory.R:339-392 contains call symbol .validate_spatial_pair_read"
".cube_read_spatial_pairs_memory",".spatial_pair_map","internal","internal","R/backend-memory.R","R/backend-index.R","static direct symbol call","R/backend-memory.R:339-392 contains call symbol .spatial_pair_map"
".cube_write_block",".cube_backend","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:394-480 contains call symbol .cube_backend"
".cube_write_block",".check_cube","internal","internal","R/backend-memory.R","R/utils-internal.R","static direct symbol call","R/backend-memory.R:394-480 contains call symbol .check_cube"
".cube_write_block",".require_memory_backend","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:394-480 contains call symbol .require_memory_backend"
".cube_write_block",".abort_badarg","internal","internal","R/backend-memory.R","R/utils-internal.R","static direct symbol call","R/backend-memory.R:394-480 contains call symbol .abort_badarg"
".cube_write_block",".validate_cube_block","internal","internal","R/backend-memory.R","R/backend-memory.R","static direct symbol call","R/backend-memory.R:394-480 contains call symbol .validate_cube_block"
".new_collected_memory_cube","ocean_cube","internal","public","R/backend-memory.R","R/ocean_cube.R","static direct symbol call","R/backend-memory.R:482-507 contains call symbol ocean_cube"
".new_collected_memory_cube",".check_cube","internal","internal","R/backend-memory.R","R/utils-internal.R","static direct symbol call","R/backend-memory.R:482-507 contains call symbol .check_cube"
".new_selected_memory_cube","ocean_cube","internal","public","R/backend-memory.R","R/ocean_cube.R","static direct symbol call","R/backend-memory.R:509-536 contains call symbol ocean_cube"
".new_selected_memory_cube",".check_cube","internal","internal","R/backend-memory.R","R/utils-internal.R","static direct symbol call","R/backend-memory.R:509-536 contains call symbol .check_cube"
".netcdf_scalar_string",".abort_badarg","internal","internal","R/backend-netcdf.R","R/utils-internal.R","static direct symbol call","R/backend-netcdf.R:7-23 contains call symbol .abort_badarg"
".with_netcdf_connection",".netcdf_scalar_string","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:55-72 contains call symbol .netcdf_scalar_string"
".with_netcdf_connection",".abort_badarg","internal","internal","R/backend-netcdf.R","R/utils-internal.R","static direct symbol call","R/backend-netcdf.R:55-72 contains call symbol .abort_badarg"
".with_netcdf_connection",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:55-72 contains call symbol .netcdf_abort"
".netcdf_file_identity",".netcdf_scalar_string","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:74-117 contains call symbol .netcdf_scalar_string"
".netcdf_file_identity",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:74-117 contains call symbol .netcdf_abort"
".netcdf_file_identity",".netcdf_as_utc","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:74-117 contains call symbol .netcdf_as_utc"
".validate_netcdf_file_identity",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:119-190 contains call symbol .netcdf_abort"
".validate_netcdf_file_identity",".netcdf_scalar_string","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:119-190 contains call symbol .netcdf_scalar_string"
".validate_netcdf_file_identity",".netcdf_as_utc","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:119-190 contains call symbol .netcdf_as_utc"
".netcdf_dimension_metadata",".netcdf_attribute","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:192-216 contains call symbol .netcdf_attribute"
".netcdf_dimension_metadata",".netcdf_optional_string","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:192-216 contains call symbol .netcdf_optional_string"
".resolve_netcdf_dimension",".netcdf_scalar_string","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:265-354 contains call symbol .netcdf_scalar_string"
".resolve_netcdf_dimension",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:265-354 contains call symbol .netcdf_abort"
".resolve_netcdf_dimension",".netcdf_dimension_evidence","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:265-354 contains call symbol .netcdf_dimension_evidence"
".decode_netcdf_time",".netcdf_optional_string","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:364-429 contains call symbol .netcdf_optional_string"
".decode_netcdf_time",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:364-429 contains call symbol .netcdf_abort"
".validate_netcdf_variables_argument",".abort_badarg","internal","internal","R/backend-netcdf.R","R/utils-internal.R","static direct symbol call","R/backend-netcdf.R:431-445 contains call symbol .abort_badarg"
".netcdf_variable_map",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:447-574 contains call symbol .netcdf_abort"
".netcdf_variable_map",".netcdf_optional_string","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:447-574 contains call symbol .netcdf_optional_string"
".netcdf_variable_map",".netcdf_attribute","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:447-574 contains call symbol .netcdf_attribute"
".netcdf_variable_map",".netcdf_optional_number","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:447-574 contains call symbol .netcdf_optional_number"
".new_netcdf_storage",".validate_netcdf_variables_argument","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .validate_netcdf_variables_argument"
".new_netcdf_storage",".netcdf_scalar_string","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .netcdf_scalar_string"
".new_netcdf_storage",".netcdf_file_identity","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .netcdf_file_identity"
".new_netcdf_storage",".with_netcdf_connection","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .with_netcdf_connection"
".new_netcdf_storage",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .netcdf_abort"
".new_netcdf_storage",".netcdf_dimension_metadata","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .netcdf_dimension_metadata"
".new_netcdf_storage",".resolve_netcdf_dimension","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .resolve_netcdf_dimension"
".new_netcdf_storage",".read_netcdf_coordinate","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .read_netcdf_coordinate"
".new_netcdf_storage",".decode_netcdf_time","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .decode_netcdf_time"
".new_netcdf_storage",".netcdf_variable_map","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .netcdf_variable_map"
".new_netcdf_storage",".check_cube_coordinates","internal","internal","R/backend-netcdf.R","R/utils-internal.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .check_cube_coordinates"
".new_netcdf_storage",".netcdf_canonical_dimension","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .netcdf_canonical_dimension"
".new_netcdf_storage",".cube_axis_names","internal","internal","R/backend-netcdf.R","R/backend-memory.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .cube_axis_names"
".new_netcdf_storage",".netcdf_as_utc","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .netcdf_as_utc"
".new_netcdf_storage",".validate_netcdf_storage","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:593-840 contains call symbol .validate_netcdf_storage"
".netcdf_contains_forbidden_object",".netcdf_contains_forbidden_object","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:842-851 contains call symbol .netcdf_contains_forbidden_object"
".validate_netcdf_storage",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:853-1124 contains call symbol .netcdf_abort"
".validate_netcdf_storage",".netcdf_contains_forbidden_object","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:853-1124 contains call symbol .netcdf_contains_forbidden_object"
".validate_netcdf_storage",".cube_axis_names","internal","internal","R/backend-netcdf.R","R/backend-memory.R","static direct symbol call","R/backend-netcdf.R:853-1124 contains call symbol .cube_axis_names"
".validate_netcdf_storage",".validate_netcdf_file_identity","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:853-1124 contains call symbol .validate_netcdf_file_identity"
".translate_netcdf_block",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1126-1188 contains call symbol .netcdf_abort"
".translate_netcdf_block","%||%","internal","internal","R/backend-netcdf.R","R/utils-internal.R","static direct symbol call","R/backend-netcdf.R:1126-1188 contains call symbol %||%"
".ncvar_get_block",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1190-1212 contains call symbol .netcdf_abort"
".validate_netcdf_physical_schema",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1235-1284 contains call symbol .netcdf_abort"
".read_netcdf_variable_block",".translate_netcdf_block","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1286-1351 contains call symbol .translate_netcdf_block"
".read_netcdf_variable_block",".ncvar_get_block","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1286-1351 contains call symbol .ncvar_get_block"
".read_netcdf_variable_block",".netcdf_abort","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1286-1351 contains call symbol .netcdf_abort"
".read_netcdf_variable_block",".decode_netcdf_block","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1286-1351 contains call symbol .decode_netcdf_block"
".netcdf_block_dimnames",".cube_axis_names","internal","internal","R/backend-netcdf.R","R/backend-memory.R","static direct symbol call","R/backend-netcdf.R:1353-1364 contains call symbol .cube_axis_names"
".read_netcdf_index_plan",".validate_netcdf_storage","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1366-1414 contains call symbol .validate_netcdf_storage"
".read_netcdf_index_plan",".netcdf_block_dimnames","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1366-1414 contains call symbol .netcdf_block_dimnames"
".read_netcdf_index_plan",".with_netcdf_connection","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1366-1414 contains call symbol .with_netcdf_connection"
".read_netcdf_index_plan",".validate_netcdf_physical_schema","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1366-1414 contains call symbol .validate_netcdf_physical_schema"
".read_netcdf_index_plan",".read_netcdf_variable_block","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1366-1414 contains call symbol .read_netcdf_variable_block"
".cube_read_block_netcdf",".check_cube","internal","internal","R/backend-netcdf.R","R/utils-internal.R","static direct symbol call","R/backend-netcdf.R:1416-1425 contains call symbol .check_cube"
".cube_read_block_netcdf",".validate_cube_block","internal","internal","R/backend-netcdf.R","R/backend-memory.R","static direct symbol call","R/backend-netcdf.R:1416-1425 contains call symbol .validate_cube_block"
".cube_read_block_netcdf",".cube_storage_shape","internal","internal","R/backend-netcdf.R","R/backend-memory.R","static direct symbol call","R/backend-netcdf.R:1416-1425 contains call symbol .cube_storage_shape"
".cube_read_block_netcdf",".plan_cube_index_read","internal","internal","R/backend-netcdf.R","R/backend-index.R","static direct symbol call","R/backend-netcdf.R:1416-1425 contains call symbol .plan_cube_index_read"
".cube_read_block_netcdf",".read_netcdf_index_plan","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1416-1425 contains call symbol .read_netcdf_index_plan"
".cube_read_netcdf",".check_cube","internal","internal","R/backend-netcdf.R","R/utils-internal.R","static direct symbol call","R/backend-netcdf.R:1427-1441 contains call symbol .check_cube"
".cube_read_netcdf",".abort_badarg","internal","internal","R/backend-netcdf.R","R/utils-internal.R","static direct symbol call","R/backend-netcdf.R:1427-1441 contains call symbol .abort_badarg"
".cube_read_netcdf",".plan_cube_index_read","internal","internal","R/backend-netcdf.R","R/backend-index.R","static direct symbol call","R/backend-netcdf.R:1427-1441 contains call symbol .plan_cube_index_read"
".cube_read_netcdf",".read_netcdf_index_plan","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1427-1441 contains call symbol .read_netcdf_index_plan"
".cube_read_spatial_pairs_netcdf",".check_cube","internal","internal","R/backend-netcdf.R","R/utils-internal.R","static direct symbol call","R/backend-netcdf.R:1443-1536 contains call symbol .check_cube"
".cube_read_spatial_pairs_netcdf",".validate_spatial_pair_read","internal","internal","R/backend-netcdf.R","R/backend-index.R","static direct symbol call","R/backend-netcdf.R:1443-1536 contains call symbol .validate_spatial_pair_read"
".cube_read_spatial_pairs_netcdf",".validate_netcdf_storage","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1443-1536 contains call symbol .validate_netcdf_storage"
".cube_read_spatial_pairs_netcdf",".spatial_pair_map","internal","internal","R/backend-netcdf.R","R/backend-index.R","static direct symbol call","R/backend-netcdf.R:1443-1536 contains call symbol .spatial_pair_map"
".cube_read_spatial_pairs_netcdf",".with_netcdf_connection","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1443-1536 contains call symbol .with_netcdf_connection"
".cube_read_spatial_pairs_netcdf",".validate_netcdf_physical_schema","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1443-1536 contains call symbol .validate_netcdf_physical_schema"
".cube_read_spatial_pairs_netcdf",".read_netcdf_variable_block","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1443-1536 contains call symbol .read_netcdf_variable_block"
".new_netcdf_cube",".validate_netcdf_storage","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1538-1609 contains call symbol .validate_netcdf_storage"
".new_netcdf_cube","%||%","internal","internal","R/backend-netcdf.R","R/utils-internal.R","static direct symbol call","R/backend-netcdf.R:1538-1609 contains call symbol %||%"
".new_netcdf_cube",".netcdf_scalar_string","internal","internal","R/backend-netcdf.R","R/backend-netcdf.R","static direct symbol call","R/backend-netcdf.R:1538-1609 contains call symbol .netcdf_scalar_string"
".new_netcdf_cube",".check_cube","internal","internal","R/backend-netcdf.R","R/utils-internal.R","static direct symbol call","R/backend-netcdf.R:1538-1609 contains call symbol .check_cube"
"clim_day",".check_cube","public","internal","R/clim_day.R","R/utils-internal.R","static direct symbol call","R/clim_day.R:19-114 contains call symbol .check_cube"
"clim_day",".abort_badarg","public","internal","R/clim_day.R","R/utils-internal.R","static direct symbol call","R/clim_day.R:19-114 contains call symbol .abort_badarg"
"clim_day",".date_key","public","internal","R/clim_day.R","R/clim_day.R","static direct symbol call","R/clim_day.R:19-114 contains call symbol .date_key"
"clim_day",".daily_keys","public","internal","R/clim_day.R","R/clim_day.R","static direct symbol call","R/clim_day.R:19-114 contains call symbol .daily_keys"
"clim_day",".cube_shape","public","internal","R/clim_day.R","R/utils-internal.R","static direct symbol call","R/clim_day.R:19-114 contains call symbol .cube_shape"
"clim_day",".cube_read","public","internal","R/clim_day.R","R/backend-memory.R","static direct symbol call","R/clim_day.R:19-114 contains call symbol .cube_read"
"clim_day",".safe_mean","public","internal","R/clim_day.R","R/utils-internal.R","static direct symbol call","R/clim_day.R:19-114 contains call symbol .safe_mean"
"clim_day",".safe_sd","public","internal","R/clim_day.R","R/utils-internal.R","static direct symbol call","R/clim_day.R:19-114 contains call symbol .safe_sd"
"clim_day",".make_provenance","public","internal","R/clim_day.R","R/utils-internal.R","static direct symbol call","R/clim_day.R:19-114 contains call symbol .make_provenance"
"print.ocean_clim","%||%","internal","internal","R/clim_day.R","R/utils-internal.R","static direct symbol call","R/clim_day.R:117-125 contains call symbol %||%"
"clim_month",".check_cube","public","internal","R/clim_month.R","R/utils-internal.R","static direct symbol call","R/clim_month.R:8-68 contains call symbol .check_cube"
"clim_month",".abort_badarg","public","internal","R/clim_month.R","R/utils-internal.R","static direct symbol call","R/clim_month.R:8-68 contains call symbol .abort_badarg"
"clim_month",".cube_shape","public","internal","R/clim_month.R","R/utils-internal.R","static direct symbol call","R/clim_month.R:8-68 contains call symbol .cube_shape"
"clim_month",".cube_read","public","internal","R/clim_month.R","R/backend-memory.R","static direct symbol call","R/clim_month.R:8-68 contains call symbol .cube_read"
"clim_month",".safe_mean","public","internal","R/clim_month.R","R/utils-internal.R","static direct symbol call","R/clim_month.R:8-68 contains call symbol .safe_mean"
"clim_month",".safe_sd","public","internal","R/clim_month.R","R/utils-internal.R","static direct symbol call","R/clim_month.R:8-68 contains call symbol .safe_sd"
"clim_month",".make_provenance","public","internal","R/clim_month.R","R/utils-internal.R","static direct symbol call","R/clim_month.R:8-68 contains call symbol .make_provenance"
"cm_setup",".message_info","public","internal","R/cm_setup.R","R/utils-internal.R","static direct symbol call","R/cm_setup.R:13-40 contains call symbol .message_info"
"cm_setup",".message_done","public","internal","R/cm_setup.R","R/utils-internal.R","static direct symbol call","R/cm_setup.R:13-40 contains call symbol .message_done"
"cm_connect",".message_info","public","internal","R/cm_setup.R","R/utils-internal.R","static direct symbol call","R/cm_setup.R:51-62 contains call symbol .message_info"
