"path","tracked","ignored","generated","reproducible","required_for_package","required_for_tests","contains_local_path","contains_credentials","contains_large_data","recommended_action","evidence","notes"
".Rproj.user/0B557707/sources/prop/26268287",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=139","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/prop/2B5AFB91",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=108","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/prop/353243C3",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=107","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/prop/555DA84C",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=106","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/prop/56EF7529",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=110","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/prop/C5A5BFDF",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=138","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/prop/EC7AB064",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=139","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/prop/F6B86399",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=140","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/prop/F8E195E0",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=141","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/prop/INDEX",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=773","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/1D90F40C",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=645","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/1D90F40C-contents",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=13094","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/241F9C8C",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=657","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/241F9C8C-contents",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=7861","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/32938575",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=764","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/32938575-contents",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=15085","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/3F0F0018",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=785","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/3F0F0018-contents",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=16626","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/409B6B14",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=798","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/409B6B14-contents",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=24942","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/61D2B7B5",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=630","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/61D2B7B5-contents",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=582","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/7A74702B",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=652","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/7A74702B-contents",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=4404","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/7E5E8195-contents",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=0","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/E1A8FE7C",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=788","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/E1A8FE7C-contents",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=23628","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/FD70EB7A",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=657","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/FD70EB7A-contents",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=5403","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/0B557707/sources/session-b80ddbe2/lock_file",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=0","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/shared/notebooks/patch-chunk-names",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=0","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
".Rproj.user/shared/notebooks/paths",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=other; size_bytes=456","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/.crop-certification/oceancube_0.0.0.9000.tar.gz",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=1223974","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/.extract-certification/oceancube_0.0.0.9000.tar.gz",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=1234493","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/cache/R/pkgdown/bootstrap-toc/1.0.1/bootstrap-toc.min.js",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=2107","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/cache/R/pkgdown/clipboard.js/2.0.11/clipboard.min.js",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=9160","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/cache/R/pkgdown/headroom/0.11.0/headroom.min.js",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=4526","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/cache/R/pkgdown/headroom/0.11.0/jQuery.headroom.min.js",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=589","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/cache/R/pkgdown/http/918fb91ebd579178c7691d8e95bbddae.rds",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=16088","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/cache/R/pkgdown/search/1.0.0/autocomplete.jquery.min.js",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=36562","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/cache/R/pkgdown/search/1.0.0/fuse.min.js",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=23035","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/cache/R/pkgdown/search/1.0.0/mark.min.js",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=16917","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/cache/R/sass/239dca29cf53d3dbd4cb157aefcb5b9e",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=287894","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/architecture/oceancube-spatind-boundary.md",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=5299","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/CITATION",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=metadata; size_bytes=116","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/DESCRIPTION",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=metadata; size_bytes=1251","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/get-started.html",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=website; size_bytes=11230","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/get-started.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=341","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/get-started.Rmd",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=737","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/index.html",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=website; size_bytes=3354","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/oceancube-architecture.html",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=website; size_bytes=13532","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/oceancube-architecture.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=369","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/oceancube-architecture.Rmd",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=2553","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/oceancube-geometry-weights.html",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=website; size_bytes=23626","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/oceancube-geometry-weights.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=1279","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/oceancube-geometry-weights.Rmd",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=2215","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/oceancube-introduction.html",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=website; size_bytes=24863","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/oceancube-introduction.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=1818","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/doc/oceancube-introduction.Rmd",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=3404","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/backend_memory.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=3995","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/backend_netcdf_descriptor.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=5112","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/backend_netcdf_read_block.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=6686","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/baseline_ocean_cube.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=3704","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/cube_crop.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=8540","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/cube_extract.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=7836","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/cube_geometry_weights.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=4084","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/cube_mask.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=6852","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/cube_slice.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=6283","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/cube_transect.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=7793","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/noncontiguous_collect.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=3913","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/ocean_cube_contract.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=4027","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/refactor_coast_dist_backend.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=4008","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/refactor_layer_annual_backend.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=3656","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/refactor_link_events_backend.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=5629","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/examples/refactor_temporal_backend.R",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=4304","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/help/aliases.rds",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=309","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/help/AnIndex",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=675","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/help/oceancube.rdb",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=67839","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/help/oceancube.rdx",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=765","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/help/paths.rds",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=425","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/html/00Index.html",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=website; size_bytes=4858","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
"artifacts/h24-final/library/oceancube/html/R.css",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"not-scanned","no filename evidence; content not exhaustively inspected",FALSE,"relocate","not tracked; ignored; type=artifact; size_bytes=1735","No credentials were printed. Relocate/review is a proposal, not a deletion decision."
