"function_name","source_file","line_start","line_end","exported","s3_method","s3_generic","visibility","module_current","direct_call_count","called_by_count","tests_found","documentation_found","examples_found","roadmap_0.2_status","recommended_action","proposed_name","evidence","notes"
"%||%","R/utils-internal.R",1,3,FALSE,FALSE,"","internal","internal-utils",0,14,0,0,0,"internalize","internalize","%||%","R/utils-internal.R:1-3; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".check_cube_coordinates","R/utils-internal.R",41,109,FALSE,FALSE,"","internal","internal-utils",2,4,0,0,0,"internalize","internalize",".check_cube_coordinates","R/utils-internal.R:41-109; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".check_cube_dimensions","R/utils-internal.R",111,149,FALSE,FALSE,"","internal","internal-utils",1,1,0,0,0,"internalize","internalize",".check_cube_dimensions","R/utils-internal.R:111-149; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".check_numeric_vector","R/utils-internal.R",20,28,FALSE,FALSE,"","internal","internal-utils",1,4,0,0,0,"internalize","internalize",".check_numeric_vector","R/utils-internal.R:20-28; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".check_range","R/utils-internal.R",30,39,FALSE,FALSE,"","internal","internal-utils",2,2,0,0,0,"internalize","internalize",".check_range","R/utils-internal.R:30-39; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".classify_cell_centers","R/cube_mask.R",354,376,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".classify_cell_centers","R/cube_mask.R:354-376; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".clim_index","R/anom_diff.R",136,148,FALSE,FALSE,"","internal","anomaly",2,1,0,0,0,"internalize","internalize",".clim_index","R/anom_diff.R:136-148; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".combine_cube_masks","R/cube_mask.R",378,404,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".combine_cube_masks","R/cube_mask.R:378-404; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".crop_posix_timezone","R/cube_crop.R",411,417,FALSE,FALSE,"","internal","selection",0,1,0,0,0,"internalize","internalize",".crop_posix_timezone","R/cube_crop.R:411-417; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".crop_range_no_coordinates","R/cube_crop.R",318,329,FALSE,FALSE,"","internal","selection",1,2,0,0,0,"internalize","internalize",".crop_range_no_coordinates","R/cube_crop.R:318-329; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".crop_range_no_overlap","R/cube_crop.R",303,316,FALSE,FALSE,"","internal","selection",1,2,0,0,0,"internalize","internalize",".crop_range_no_overlap","R/cube_crop.R:303-316; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".crop_range_outside","R/cube_crop.R",288,301,FALSE,FALSE,"","internal","selection",1,2,0,0,0,"internalize","internalize",".crop_range_outside","R/cube_crop.R:288-301; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".crop_time_class","R/cube_crop.R",399,409,FALSE,FALSE,"","internal","selection",0,1,0,0,0,"internalize","internalize",".crop_time_class","R/cube_crop.R:399-409; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_axis_bounds","R/cube_grid_geometry.R",159,234,FALSE,FALSE,"","internal","geometry/masks",4,1,0,0,0,"internalize","internalize",".cube_axis_bounds","R/cube_grid_geometry.R:159-234; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_axis_names","R/backend-memory.R",3,5,FALSE,FALSE,"","internal","backend/netcdf",0,19,5,0,0,"internalize","internalize",".cube_axis_names","R/backend-memory.R:3-5; not exported by NAMESPACE; direct-call test files: 5","Static counts exclude dynamic dispatch."
".cube_backend","R/backend-memory.R",7,42,FALSE,FALSE,"","internal","backend/netcdf",1,13,12,12,12,"internalize","internalize",".cube_backend","R/backend-memory.R:7-42; not exported by NAMESPACE; direct-call test files: 12","Static counts exclude dynamic dispatch."
".cube_cell_centers","R/cube_mask.R",340,352,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".cube_cell_centers","R/cube_mask.R:340-352; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_estimated_bytes","R/cube_collect.R",89,109,FALSE,FALSE,"","internal","extraction",2,1,1,1,1,"internalize","internalize",".cube_estimated_bytes","R/cube_collect.R:89-109; not exported by NAMESPACE; direct-call test files: 1","Static counts exclude dynamic dispatch."
".cube_extract_long","R/cube_extract.R",412,445,FALSE,FALSE,"","internal","extraction",5,1,0,0,0,"internalize","internalize",".cube_extract_long","R/cube_extract.R:412-445; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_extract_wide","R/cube_extract.R",486,527,FALSE,FALSE,"","internal","extraction",5,1,0,0,0,"internalize","internalize",".cube_extract_wide","R/cube_extract.R:486-527; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_horizontal_geometry","R/cube_grid_geometry.R",127,157,FALSE,FALSE,"","internal","geometry/masks",1,2,0,0,0,"internalize","internalize",".cube_horizontal_geometry","R/cube_grid_geometry.R:127-157; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_product_as_double","R/backend-index.R",3,29,FALSE,FALSE,"","internal","backend/netcdf",0,3,0,0,0,"internalize","internalize",".cube_product_as_double","R/backend-index.R:3-29; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_read","R/backend-memory.R",295,322,FALSE,FALSE,"","internal","backend/netcdf",5,14,11,12,10,"internalize","internalize",".cube_read","R/backend-memory.R:295-322; not exported by NAMESPACE; direct-call test files: 11","Static counts exclude dynamic dispatch."
".cube_read_block","R/backend-memory.R",324,337,FALSE,FALSE,"","internal","backend/netcdf",6,0,3,2,2,"internalize","internalize",".cube_read_block","R/backend-memory.R:324-337; not exported by NAMESPACE; direct-call test files: 3","Static counts exclude dynamic dispatch."
".cube_read_block_netcdf","R/backend-netcdf.R",1416,1425,FALSE,FALSE,"","internal","backend/netcdf",5,1,0,0,0,"internalize","internalize",".cube_read_block_netcdf","R/backend-netcdf.R:1416-1425; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_read_netcdf","R/backend-netcdf.R",1427,1441,FALSE,FALSE,"","internal","backend/netcdf",4,1,0,0,0,"internalize","internalize",".cube_read_netcdf","R/backend-netcdf.R:1427-1441; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_read_spatial_pairs","R/backend-index.R",106,126,FALSE,FALSE,"","internal","backend/netcdf",3,1,0,0,0,"internalize","internalize",".cube_read_spatial_pairs","R/backend-index.R:106-126; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_read_spatial_pairs_memory","R/backend-memory.R",339,392,FALSE,FALSE,"","internal","backend/netcdf",3,1,0,0,0,"internalize","internalize",".cube_read_spatial_pairs_memory","R/backend-memory.R:339-392; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_read_spatial_pairs_netcdf","R/backend-netcdf.R",1443,1536,FALSE,FALSE,"","internal","backend/netcdf",7,1,0,0,0,"internalize","internalize",".cube_read_spatial_pairs_netcdf","R/backend-netcdf.R:1443-1536; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_shape","R/utils-internal.R",151,197,FALSE,FALSE,"","internal","internal-utils",3,16,10,6,5,"internalize","internalize",".cube_shape","R/utils-internal.R:151-197; not exported by NAMESPACE; direct-call test files: 10","Static counts exclude dynamic dispatch."
".cube_storage_shape","R/backend-memory.R",90,104,FALSE,FALSE,"","internal","backend/netcdf",3,2,2,1,1,"internalize","internalize",".cube_storage_shape","R/backend-memory.R:90-104; not exported by NAMESPACE; direct-call test files: 2","Static counts exclude dynamic dispatch."
".cube_transect_long","R/cube_transect.R",459,500,FALSE,FALSE,"","internal","extraction",0,1,0,0,0,"internalize","internalize",".cube_transect_long","R/cube_transect.R:459-500; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_transect_wide","R/cube_transect.R",502,535,FALSE,FALSE,"","internal","extraction",0,1,0,0,0,"internalize","internalize",".cube_transect_wide","R/cube_transect.R:502-535; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_vertical_geometry","R/cube_grid_geometry.R",315,369,FALSE,FALSE,"","internal","geometry/masks",5,2,0,0,0,"internalize","internalize",".cube_vertical_geometry","R/cube_grid_geometry.R:315-369; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".cube_write_block","R/backend-memory.R",394,480,FALSE,FALSE,"","internal","backend/netcdf",5,0,5,5,5,"internalize","internalize",".cube_write_block","R/backend-memory.R:394-480; not exported by NAMESPACE; direct-call test files: 5","Static counts exclude dynamic dispatch."
".daily_keys","R/clim_day.R",127,134,FALSE,FALSE,"","internal","climatology",0,1,0,0,0,"internalize","internalize",".daily_keys","R/clim_day.R:127-134; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".date_key","R/clim_day.R",136,149,FALSE,FALSE,"","internal","climatology",0,2,0,0,0,"internalize","internalize",".date_key","R/clim_day.R:136-149; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".decode_netcdf_block","R/backend-netcdf.R",1214,1233,FALSE,FALSE,"","internal","backend/netcdf",0,1,0,0,0,"internalize","internalize",".decode_netcdf_block","R/backend-netcdf.R:1214-1233; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".decode_netcdf_time","R/backend-netcdf.R",364,429,FALSE,FALSE,"","internal","backend/netcdf",2,1,0,0,0,"internalize","internalize",".decode_netcdf_time","R/backend-netcdf.R:364-429; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".depth_conversion_factor","R/cube_grid_geometry.R",440,463,FALSE,FALSE,"","internal","geometry/masks",1,3,0,0,0,"internalize","internalize",".depth_conversion_factor","R/cube_grid_geometry.R:440-463; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".depth_edges","R/utils-internal.R",333,342,FALSE,FALSE,"","internal","internal-utils",2,1,0,0,0,"internalize","internalize",".depth_edges","R/utils-internal.R:333-342; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".depth_weights","R/utils-internal.R",344,346,FALSE,FALSE,"","internal","internal-utils",0,1,0,0,0,"internalize","internalize",".depth_weights","R/utils-internal.R:344-346; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".estimate_cube_extract","R/cube_extract.R",303,349,FALSE,FALSE,"","internal","extraction",1,1,0,0,0,"internalize","internalize",".estimate_cube_extract","R/cube_extract.R:303-349; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".expand_polygon_weights_depth","R/cube_polygon_weights.R",301,317,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".expand_polygon_weights_depth","R/cube_polygon_weights.R:301-317; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".extract_cube_coordinates","R/cube_extract.R",351,359,FALSE,FALSE,"","internal","extraction",0,1,0,0,0,"internalize","internalize",".extract_cube_coordinates","R/cube_extract.R:351-359; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".extract_local_indices","R/cube_extract.R",384,390,FALSE,FALSE,"","internal","extraction",1,2,0,0,0,"internalize","internalize",".extract_local_indices","R/cube_extract.R:384-390; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".extract_selected_coordinates","R/cube_extract.R",361,363,FALSE,FALSE,"","internal","extraction",1,4,0,0,0,"internalize","internalize",".extract_selected_coordinates","R/cube_extract.R:361-363; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".extract_table_units","R/cube_extract.R",365,382,FALSE,FALSE,"","internal","extraction",1,2,0,0,0,"internalize","internalize",".extract_table_units","R/cube_extract.R:365-382; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".guess_dim","R/utils-internal.R",348,357,FALSE,FALSE,"","internal","internal-utils",0,1,0,0,0,"internalize","internalize",".guess_dim","R/utils-internal.R:348-357; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".make_filename","R/utils-internal.R",390,405,FALSE,FALSE,"","internal","internal-utils",0,1,0,0,0,"internalize","internalize",".make_filename","R/utils-internal.R:390-405; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".make_provenance","R/utils-internal.R",407,419,FALSE,FALSE,"","internal","internal-utils",0,8,0,0,0,"internalize","internalize",".make_provenance","R/utils-internal.R:407-419; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".mask_coverage","R/cube_mask.R",544,567,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".mask_coverage","R/cube_mask.R:544-567; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".message_done","R/utils-internal.R",16,18,FALSE,FALSE,"","internal","internal-utils",0,3,0,0,0,"internalize","internalize",".message_done","R/utils-internal.R:16-18; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".message_info","R/utils-internal.R",12,14,FALSE,FALSE,"","internal","internal-utils",0,3,0,0,0,"internalize","internalize",".message_info","R/utils-internal.R:12-14; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".ncvar_get_block","R/backend-netcdf.R",1190,1212,FALSE,FALSE,"","internal","backend/netcdf",1,1,1,0,0,"internalize","internalize",".ncvar_get_block","R/backend-netcdf.R:1190-1212; not exported by NAMESPACE; direct-call test files: 1","Static counts exclude dynamic dispatch."
".nearest_date_index","R/link_events.R",131,156,FALSE,FALSE,"","internal","matching",0,1,0,0,0,"internalize","internalize",".nearest_date_index","R/link_events.R:131-156; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".nearest_index","R/link_events.R",124,129,FALSE,FALSE,"","internal","matching",0,1,0,0,0,"internalize","internalize",".nearest_index","R/link_events.R:124-129; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_abort","R/backend-netcdf.R",3,5,FALSE,FALSE,"","internal","backend/netcdf",0,12,0,0,0,"internalize","internalize",".netcdf_abort","R/backend-netcdf.R:3-5; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_as_utc","R/backend-netcdf.R",47,53,FALSE,FALSE,"","internal","backend/netcdf",0,8,0,0,0,"internalize","internalize",".netcdf_as_utc","R/backend-netcdf.R:47-53; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_attribute","R/backend-netcdf.R",25,31,FALSE,FALSE,"","internal","backend/netcdf",0,2,0,0,0,"internalize","internalize",".netcdf_attribute","R/backend-netcdf.R:25-31; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_block_dimnames","R/backend-netcdf.R",1353,1364,FALSE,FALSE,"","internal","backend/netcdf",1,1,0,0,0,"internalize","internalize",".netcdf_block_dimnames","R/backend-netcdf.R:1353-1364; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_canonical_dimension","R/backend-netcdf.R",576,591,FALSE,FALSE,"","internal","backend/netcdf",0,1,0,0,0,"internalize","internalize",".netcdf_canonical_dimension","R/backend-netcdf.R:576-591; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_contains_forbidden_object","R/backend-netcdf.R",842,851,FALSE,FALSE,"","internal","backend/netcdf",1,2,2,0,0,"internalize","internalize",".netcdf_contains_forbidden_object","R/backend-netcdf.R:842-851; not exported by NAMESPACE; direct-call test files: 2","Static counts exclude dynamic dispatch."
".netcdf_dimension_evidence","R/backend-netcdf.R",218,263,FALSE,FALSE,"","internal","backend/netcdf",0,1,0,0,0,"internalize","internalize",".netcdf_dimension_evidence","R/backend-netcdf.R:218-263; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_dimension_metadata","R/backend-netcdf.R",192,216,FALSE,FALSE,"","internal","backend/netcdf",2,1,0,0,0,"internalize","internalize",".netcdf_dimension_metadata","R/backend-netcdf.R:192-216; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_file_identity","R/backend-netcdf.R",74,117,FALSE,FALSE,"","internal","backend/netcdf",3,1,0,0,0,"internalize","internalize",".netcdf_file_identity","R/backend-netcdf.R:74-117; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_optional_number","R/backend-netcdf.R",40,45,FALSE,FALSE,"","internal","backend/netcdf",0,1,0,0,0,"internalize","internalize",".netcdf_optional_number","R/backend-netcdf.R:40-45; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_optional_string","R/backend-netcdf.R",33,38,FALSE,FALSE,"","internal","backend/netcdf",0,3,0,0,0,"internalize","internalize",".netcdf_optional_string","R/backend-netcdf.R:33-38; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_scalar_string","R/backend-netcdf.R",7,23,FALSE,FALSE,"","internal","backend/netcdf",1,6,0,0,0,"internalize","internalize",".netcdf_scalar_string","R/backend-netcdf.R:7-23; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".netcdf_variable_map","R/backend-netcdf.R",447,574,FALSE,FALSE,"","internal","backend/netcdf",4,1,0,0,0,"internalize","internalize",".netcdf_variable_map","R/backend-netcdf.R:447-574; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".new_collected_memory_cube","R/backend-memory.R",482,507,FALSE,FALSE,"","internal","backend/netcdf",2,2,0,0,0,"internalize","internalize",".new_collected_memory_cube","R/backend-memory.R:482-507; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".new_netcdf_cube","R/backend-netcdf.R",1538,1609,FALSE,FALSE,"","internal","backend/netcdf",4,0,12,8,8,"internalize","internalize",".new_netcdf_cube","R/backend-netcdf.R:1538-1609; not exported by NAMESPACE; direct-call test files: 12","Static counts exclude dynamic dispatch."
".new_netcdf_storage","R/backend-netcdf.R",593,840,FALSE,FALSE,"","internal","backend/netcdf",15,0,12,8,8,"internalize","internalize",".new_netcdf_storage","R/backend-netcdf.R:593-840; not exported by NAMESPACE; direct-call test files: 12","Static counts exclude dynamic dispatch."
".new_polygon_ocean_mask","R/cube_mask.R",569,593,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".new_polygon_ocean_mask","R/cube_mask.R:569-593; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".new_selected_memory_cube","R/backend-memory.R",509,536,FALSE,FALSE,"","internal","backend/netcdf",2,2,0,0,0,"internalize","internalize",".new_selected_memory_cube","R/backend-memory.R:509-536; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".normalize_depth_unit","R/cube_grid_geometry.R",418,438,FALSE,FALSE,"","internal","geometry/masks",1,1,0,0,0,"internalize","internalize",".normalize_depth_unit","R/cube_grid_geometry.R:418-438; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".normalize_polygon_geometry","R/cube_mask.R",186,325,FALSE,FALSE,"","internal","geometry/masks",3,2,0,0,0,"internalize","internalize",".normalize_polygon_geometry","R/cube_mask.R:186-325; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".plan_cube_index_read","R/backend-index.R",31,104,FALSE,FALSE,"","internal","backend/netcdf",4,5,1,1,1,"internalize","internalize",".plan_cube_index_read","R/backend-index.R:31-104; not exported by NAMESPACE; direct-call test files: 1","Static counts exclude dynamic dispatch."
".plan_cube_transect","R/cube_transect.R",220,396,FALSE,FALSE,"","internal","extraction",10,1,0,0,0,"internalize","internalize",".plan_cube_transect","R/cube_transect.R:220-396; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".plan_masked_cube_read","R/cube_mask.R",458,518,FALSE,FALSE,"","internal","geometry/masks",2,1,0,0,0,"internalize","internalize",".plan_masked_cube_read","R/cube_mask.R:458-518; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".polygon_cell_intersections","R/cube_polygon_weights.R",143,212,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".polygon_cell_intersections","R/cube_polygon_weights.R:143-212; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".polygon_crosses_antimeridian","R/cube_mask.R",327,338,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".polygon_crosses_antimeridian","R/cube_mask.R:327-338; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".polygon_feature_coverage","R/cube_polygon_weights.R",262,289,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".polygon_feature_coverage","R/cube_polygon_weights.R:262-289; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".polygon_feature_ids","R/cube_polygon_weights.R",116,141,FALSE,FALSE,"","internal","geometry/masks",1,1,0,0,0,"internalize","internalize",".polygon_feature_ids","R/cube_polygon_weights.R:116-141; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".polygon_weight_table","R/cube_polygon_weights.R",214,260,FALSE,FALSE,"","internal","geometry/masks",0,1,0,0,0,"internalize","internalize",".polygon_weight_table","R/cube_polygon_weights.R:214-260; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".read_cf_time","R/utils-internal.R",359,388,FALSE,FALSE,"","internal","internal-utils",0,1,0,0,0,"internalize","internalize",".read_cf_time","R/utils-internal.R:359-388; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".read_event_values","R/link_events.R",108,122,FALSE,FALSE,"","internal","matching",1,1,0,0,0,"internalize","internalize",".read_event_values","R/link_events.R:108-122; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".read_masked_cube_values","R/cube_mask.R",520,542,FALSE,FALSE,"","internal","geometry/masks",4,1,0,0,0,"internalize","internalize",".read_masked_cube_values","R/cube_mask.R:520-542; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".read_netcdf_coordinate","R/backend-netcdf.R",356,362,FALSE,FALSE,"","internal","backend/netcdf",0,1,0,0,0,"internalize","internalize",".read_netcdf_coordinate","R/backend-netcdf.R:356-362; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".read_netcdf_index_plan","R/backend-netcdf.R",1366,1414,FALSE,FALSE,"","internal","backend/netcdf",5,2,0,0,0,"internalize","internalize",".read_netcdf_index_plan","R/backend-netcdf.R:1366-1414; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".read_netcdf_variable_block","R/backend-netcdf.R",1286,1351,FALSE,FALSE,"","internal","backend/netcdf",4,2,0,0,0,"internalize","internalize",".read_netcdf_variable_block","R/backend-netcdf.R:1286-1351; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".require_memory_backend","R/backend-memory.R",106,118,FALSE,FALSE,"","internal","backend/netcdf",2,4,0,0,0,"internalize","internalize",".require_memory_backend","R/backend-memory.R:106-118; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".resolve_axis_values","R/cube_slice.R",304,366,FALSE,FALSE,"","internal","selection",5,2,0,0,0,"internalize","internalize",".resolve_axis_values","R/cube_slice.R:304-366; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".resolve_crop_bbox","R/cube_crop.R",149,201,FALSE,FALSE,"","internal","selection",1,1,0,0,0,"internalize","internalize",".resolve_crop_bbox","R/cube_crop.R:149-201; not exported by NAMESPACE; no direct-call test file found","Static counts exclude dynamic dispatch."
".resolve_cube_crop","R/cube_crop.R",203,261,FALSE,FALSE,"","internal","selection",6,1,1,0,0,"internalize","internalize",".resolve_cube_crop","R/cube_crop.R:203-261; not exported by NAMESPACE; direct-call test files: 1","Static counts exclude dynamic dispatch."
