"topic","function_name","source_type","source_file","canonical_candidate","duplicate_group","current","roadmap_relevance","recommended_action","notes"
"oceancube-v0.2.0-scope","clim_week","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:clim_week",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","clim_year","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:clim_year",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cm_connect","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cm_connect",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cm_setup","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cm_setup",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_align","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_align",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_area_mean","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_area_mean",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_assign","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_assign",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_calendar","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_calendar",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_cell_area","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_cell_area",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_cell_volume","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_cell_volume",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_cf_metadata","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_cf_metadata",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_collect","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_collect",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_count","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_count",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_coverage","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_coverage",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_crop","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_crop",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_depth_positive","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_depth_positive",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_detrend","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_detrend",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_diff","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_diff",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_exceedance","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_exceedance",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_extract","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_extract",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_gradient","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_gradient",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_ingest","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_ingest",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_inspect","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_inspect",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_inventory","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_inventory",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_join","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_join",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_layer_thickness","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_layer_thickness",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_locate","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_locate",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_lon_convention","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_lon_convention",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_mask","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_mask",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_max","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_max",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_mean","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_mean",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_median","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_median",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_merge","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_merge",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_min","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_min",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_missing","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_missing",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_polygon_weights","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_polygon_weights",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_qc_filter","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_qc_filter",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_quality","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_quality",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_quantile","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_quantile",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_rate","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_rate",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_region_summary","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_region_summary",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_regrid","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_regrid",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_resample","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_resample",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_roll","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_roll",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_rolling_slope","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_rolling_slope",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_sd","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_sd",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_slice","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_slice",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_slope","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_slope",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_stack","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_stack",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_standardize","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_standardize",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_transect","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_transect",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_uncertainty","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_uncertainty",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_units","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_units",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_validate","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_validate",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_vertical_gradient","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_vertical_gradient",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_vertical_integral","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_vertical_integral",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_vertical_mean","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_vertical_mean",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","cube_volume_mean","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:cube_volume_mean",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","download_copernicus","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:download_copernicus",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","download_erddap","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:download_erddap",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","download_nc","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:download_nc",TRUE,"planning source","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","download_url","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:download_url",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","layer_mean","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:layer_mean",TRUE,"planning source","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","link_events","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:link_events",TRUE,"planning source","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","ocean_cube","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:ocean_cube",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","read_nc","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:read_nc",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","read_opendap","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:read_opendap",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","read_stac","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:read_stac",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","read_thredds","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:read_thredds",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","read_zarr","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:read_zarr",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","signal_noise","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:signal_noise",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","source_info","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:source_info",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","source_search","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:source_search",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","source_variables","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:source_variables",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","to_day","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:to_day",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","to_month","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:to_month",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","to_season","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:to_season",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","to_week","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:to_week",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","to_year","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:to_year",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.animate","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.animate",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.animate_hovmoller","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.animate_hovmoller",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.animate_map","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.animate_map",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.animate_profile","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.animate_profile",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.animate_section","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.animate_section",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.anomaly","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.anomaly",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.climatology","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.climatology",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.compare","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.compare",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.coverage","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.coverage",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.hovmoller","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.hovmoller",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.map","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.map",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.profile","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.profile",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.quality","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.quality",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.save","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.save",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.save_gif","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.save_gif",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.section","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.section",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.series","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.series",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.slope","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.slope",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.uncertainty","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.uncertainty",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","viz.vector","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:viz.vector",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","write_metadata","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:write_metadata",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","write_nc","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:write_nc",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","write_rds","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:write_rds",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","write_stac","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:write_stac",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","write_table","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:write_table",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
"oceancube-v0.2.0-scope","write_zarr","docs","docs/roadmap/oceancube-v0.2.0-scope.Rmd","roadmap for future decisions; generated website is non-canonical","function:write_zarr",TRUE,"explicit proposed API","review","Topic overlap is evidence for review, not permission to delete."
