"function_name","module","exists_in_0.1.0","current_equivalent","implementation_status","priority","dependencies_expected","output_contract","notes"
"cube_align","selection",FALSE,"","new","core","ocean_cube; backend block reads; sf for polygons","ocean_cube","Listed in roadmap section 20.1."
"cube_crop","selection",TRUE,"cube_crop","existing","core","ocean_cube; backend block reads; sf for polygons","ocean_cube","Listed in roadmap section 20.1."
"cube_mask","selection",TRUE,"cube_mask","existing","medium","ocean_cube; backend block reads; sf for polygons","ocean_cube","Explicitly proposed in roadmap functional sections."
"cube_merge","selection",FALSE,"","new","core","ocean_cube; backend block reads; sf for polygons","ocean_cube","Listed in roadmap section 20.1."
"cube_regrid","selection",FALSE,"","future-extension","future","ocean_cube; backend block reads; sf for polygons","ocean_cube","Listed as planned extension in section 20.2."
"cube_resample","selection",FALSE,"","future-extension","future","ocean_cube; backend block reads; sf for polygons","ocean_cube","Listed as planned extension in section 20.2."
"cube_slice","selection",TRUE,"cube_slice","existing","core","ocean_cube; backend block reads; sf for polygons","ocean_cube","Listed in roadmap section 20.1."
"cube_stack","selection",FALSE,"","new","core","ocean_cube; backend block reads; sf for polygons","ocean_cube","Listed in roadmap section 20.1."
"cube_extract","extraction",TRUE,"cube_extract","existing","core","selection; backend reads","data.frame or ordered section table","Listed in roadmap section 20.1."
"cube_transect","extraction",TRUE,"cube_transect","existing","core","selection; backend reads","data.frame or ordered section table","Listed in roadmap section 20.1."
"cube_assign","matching",FALSE,"","new","core","selection; distance/time matching","ocean_match/data.frame","Listed in roadmap section 20.1."
"cube_join","matching",FALSE,"link_events","rename-required","core","selection; distance/time matching","ocean_match/data.frame","Listed in roadmap section 20.1."
"cube_locate","matching",FALSE,"","new","core","selection; distance/time matching","ocean_match/data.frame","Listed in roadmap section 20.1."
"cube_roll","aggregation",FALSE,"","new","core","calendar/time bounds; coverage","ocean_cube","Listed in roadmap section 20.1."
"to_day","aggregation",FALSE,"","new","core","calendar/time bounds; coverage","ocean_cube","Listed in roadmap section 20.1."
"to_month","aggregation",TRUE,"to_month","existing","core","calendar/time bounds; coverage","ocean_cube","Listed in roadmap section 20.1."
"to_season","aggregation",FALSE,"","new","core","calendar/time bounds; coverage","ocean_cube","Listed in roadmap section 20.1."
"to_week","aggregation",FALSE,"","new","core","calendar/time bounds; coverage","ocean_cube","Listed in roadmap section 20.1."
"to_year","aggregation",FALSE,"annual_index","rename-required","core","calendar/time bounds; coverage","ocean_cube","Listed in roadmap section 20.1."
"clim_custom","climatology",FALSE,"","new","core","aggregation; period/grouping metadata","ocean_clim","Listed in roadmap section 20.1."
"clim_day","climatology",TRUE,"clim_day","existing","core","aggregation; period/grouping metadata","ocean_clim","Listed in roadmap section 20.1."
"clim_month","climatology",TRUE,"clim_month","existing","core","aggregation; period/grouping metadata","ocean_clim","Listed in roadmap section 20.1."
"clim_season","climatology",FALSE,"","new","core","aggregation; period/grouping metadata","ocean_clim","Listed in roadmap section 20.1."
"clim_week","climatology",FALSE,"","new","core","aggregation; period/grouping metadata","ocean_clim","Listed in roadmap section 20.1."
"clim_year","climatology",FALSE,"","new","core","aggregation; period/grouping metadata","ocean_clim","Listed in roadmap section 20.1."
"anom_class","anomaly",FALSE,"","new","core","ocean_clim; denominator safeguards","ocean_anom/ocean_cube","Listed in roadmap section 20.1."
"anom_cumsum","anomaly",FALSE,"","new","core","ocean_clim; denominator safeguards","ocean_anom/ocean_cube","Listed in roadmap section 20.1."
"anom_diff","anomaly",TRUE,"anom_diff","existing","core","ocean_clim; denominator safeguards","ocean_anom/ocean_cube","Listed in roadmap section 20.1."
"anom_percent","anomaly",FALSE,"","new","core","ocean_clim; denominator safeguards","ocean_anom/ocean_cube","Listed in roadmap section 20.1."
"anom_percentile","anomaly",FALSE,"","new","core","ocean_clim; denominator safeguards","ocean_anom/ocean_cube","Listed in roadmap section 20.1."
"anom_ratio","anomaly",FALSE,"","new","core","ocean_clim; denominator safeguards","ocean_anom/ocean_cube","Listed in roadmap section 20.1."
"anom_robust","anomaly",FALSE,"","new","core","ocean_clim; denominator safeguards","ocean_anom/ocean_cube","Listed in roadmap section 20.1."
"anom_z","anomaly",TRUE,"anom_z","existing","core","ocean_clim; denominator safeguards","ocean_anom/ocean_cube","Listed in roadmap section 20.1."
"signal_noise","anomaly",TRUE,"signal_noise","existing","core","ocean_clim; denominator safeguards","ocean_anom/ocean_cube","Listed in roadmap section 20.1."
"cube_detrend","change",FALSE,"","new","core","time coordinates; minimum sample rules","ocean_cube or slope summary","Listed in roadmap section 20.1."
"cube_diff","change",FALSE,"","new","core","time coordinates; minimum sample rules","ocean_cube or slope summary","Listed in roadmap section 20.1."
"cube_gradient","change",FALSE,"","future-extension","future","time coordinates; minimum sample rules","ocean_cube or slope summary","Listed as planned extension in section 20.2."
"cube_rate","change",FALSE,"","new","core","time coordinates; minimum sample rules","ocean_cube or slope summary","Listed in roadmap section 20.1."
"cube_rolling_slope","change",FALSE,"","new","core","time coordinates; minimum sample rules","ocean_cube or slope summary","Listed in roadmap section 20.1."
"cube_slope","change",FALSE,"","new","core","time coordinates; minimum sample rules","ocean_cube or slope summary","Listed in roadmap section 20.1."
"cube_vertical_gradient","change",FALSE,"","future-extension","future","time coordinates; minimum sample rules","ocean_cube or slope summary","Listed as planned extension in section 20.2."
"cube_cell_area","geometry",TRUE,"cube_cell_area","existing","high","bounds/CRS; sf where required","geometry/weight arrays or tables","Explicitly proposed in roadmap functional sections."
"cube_cell_volume","geometry",TRUE,"cube_cell_volume","existing","high","bounds/CRS; sf where required","geometry/weight arrays or tables","Explicitly proposed in roadmap functional sections."
"cube_layer_thickness","geometry",TRUE,"cube_layer_thickness","existing","high","bounds/CRS; sf where required","geometry/weight arrays or tables","Explicitly proposed in roadmap functional sections."
"cube_polygon_weights","geometry",TRUE,"cube_polygon_weights","existing","high","bounds/CRS; sf where required","geometry/weight arrays or tables","Explicitly proposed in roadmap functional sections."
"cube_area_mean","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_count","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_exceedance","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_max","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_mean","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_median","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_min","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_quantile","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_region_summary","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_sd","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_vertical_integral","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_vertical_mean","summary",FALSE,"layer_mean","rename-required","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"cube_volume_mean","summary",FALSE,"","new","high","geometry weights; explicit reductions","ocean_cube, array, or summary table with removed dimensions declared","Explicitly proposed in roadmap functional sections."
"viz.anomaly","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.climatology","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.compare","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.coverage","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.hovmoller","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.map","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.profile","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.quality","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.save","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.section","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.series","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.slope","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.uncertainty","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.vector","visualization",FALSE,"","new","core","ggplot2; explicit selection","ggplot or explicit saved figure","Listed in roadmap section 20.1."
"viz.animate","animation",FALSE,"","new","core","gganimate; renderer","ocean_animation or GIF","Listed in roadmap section 20.1."
"viz.animate_hovmoller","animation",FALSE,"","new","core","gganimate; renderer","ocean_animation or GIF","Listed in roadmap section 20.1."
"viz.animate_map","animation",FALSE,"","new","core","gganimate; renderer","ocean_animation or GIF","Listed in roadmap section 20.1."
"viz.animate_profile","animation",FALSE,"","new","core","gganimate; renderer","ocean_animation or GIF","Listed in roadmap section 20.1."
"viz.animate_section","animation",FALSE,"","new","core","gganimate; renderer","ocean_animation or GIF","Listed in roadmap section 20.1."
"viz.save_gif","animation",FALSE,"","new","core","gganimate; renderer","ocean_animation or GIF","Listed in roadmap section 20.1."
"write_metadata","export",FALSE,"","new","core","format writer; metadata/provenance","written asset plus provenance","Listed in roadmap section 20.1."
"write_nc","export",FALSE,"","new","core","format writer; metadata/provenance","written asset plus provenance","Listed in roadmap section 20.1."
"write_rds","export",FALSE,"","new","core","format writer; metadata/provenance","written asset plus provenance","Listed in roadmap section 20.1."
"write_stac","export",FALSE,"","future-extension","future","format writer; metadata/provenance","written asset plus provenance","Listed as planned extension in section 20.2."
"write_table","export",FALSE,"","new","core","format writer; metadata/provenance","written asset plus provenance","Listed in roadmap section 20.1."
"write_zarr","export",FALSE,"","future-extension","future","format writer; metadata/provenance","written asset plus provenance","Listed as planned extension in section 20.2."
